## 1
## 여신들의 경쟁, 김태희 ‘용팔이’ vs 송혜교 ‘태양의 후예’
## 여신들의 경쟁, <김태희:PER> ‘<용팔이:POH>’ vs <송혜교:PER> ‘<태양의 후예:POH>’
여신	여신	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
경쟁	경쟁	NNG	O
,	,	SP	O
_	_	_	O
김태희	김태희	NNP	B-PER
_	_	_	O
‘	‘	SS	O
용팔이	용팔이	NNP	B-POH
’	’	SS	O
_	_	_	O
vs	vs	SL	O
_	_	_	O
송혜교	송혜교	NNP	B-PER
_	_	_	O
‘	‘	SS	O
태양	태양	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
후예	후예	NNG	I-POH
’	’	SS	O

## 2
## 10시간 가까이 앉아 있어야 하는 시험장에서 꼭 필요한 아이템이었다.
## <10시간:DUR> 가까이 앉아 있어야 하는 시험장에서 꼭 필요한 아이템이었다.
10	10	SN	B-DUR
시간	시간	NNB	I-DUR
_	_	_	O
가까이	가까이	MAG	O
_	_	_	O
앉	앉	VV	O
아	아	EC	O
_	_	_	O
있	있	VX	O
어야	어야	EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
시험장	시험장	NNG	O
에서	에서	JKB	O
_	_	_	O
꼭	꼭	MAG	O
_	_	_	O
필요한	필요하+ㄴ	VA+ETM	O
_	_	_	O
아이템	아이템	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## GM과 대우차 사이 주계약들부터 양사 직원의 주차장 구역 배분에 이르기까지 수십 개가 넘는 계약서는 모두 영문이었다.
## <GM:ORG>과 <대우차:ORG> 사이 주계약들부터 양사 직원의 주차장 구역 배분에 이르기까지 수십 개가 넘는 계약서는 모두 영문이었다.
GM	GM	SL	B-ORG
과	과	JC	O
_	_	_	O
대우	대우	NNP	B-ORG
차	차	NNG	I-ORG
_	_	_	O
사이	사이	NNG	O
_	_	_	O
주	주	NNP	O
계약	계약	NNG	O
들	들	XSN	O
부터	부터	JX	O
_	_	_	O
양	양	MM	O
사	사	NNG	O
_	_	_	O
직원	직원	NNG	O
의	의	JKG	O
_	_	_	O
주차장	주차장	NNG	O
_	_	_	O
구역	구역	NNG	O
_	_	_	O
배분	배분	NNG	O
에	에	JKB	O
_	_	_	O
이르	이르	VV	O
기	기	ETN	O
까지	까지	JX	O
_	_	_	O
수십	수십	NR	O
_	_	_	O
개	개	NNB	O
가	가	JKS	O
_	_	_	O
넘	넘	VV	O
는	는	ETM	O
_	_	_	O
계약서	계약서	NNG	O
는	는	JX	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
영문	영문	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
