## 1
## 2014년에는 동거녀와의 결별로 이어진 프랑수아 올랑드 대통령의 열애 스캔들에 대해 “올랑드는 비열한 겁쟁이”라며 거침없이 독설을 퍼붓기도 했다.
## <2014년:DAT>에는 동거녀와의 결별로 이어진 <프랑수아 올랑드:PER> 대통령의 열애 스캔들에 대해 “<올랑드:PER>는 비열한 겁쟁이”라며 거침없이 독설을 퍼붓기도 했다.
2014	2014	SN	B-DAT
년	년	NNB	I-DAT
에	에	JKB	O
는	는	JX	O
_	_	_	O
동거녀	동거녀	NNG	O
와	와	JKB	O
의	의	JKG	O
_	_	_	O
결별	결별	NNG	O
로	로	JKB	O
_	_	_	O
이어진	이어지+ㄴ	VV+ETM	O
_	_	_	O
프랑수아	프랑수아	NNP	B-PER
_	_	_	I-PER
올랑드	올랑드	NNP	I-PER
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
열애	열애	NNG	O
_	_	_	O
스캔들	스캔들	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
“	“	SS	O
올랑드	올랑드	NNP	B-PER
는	는	JX	O
_	_	_	O
비열한	비열하+ㄴ	VA+ETM	O
_	_	_	O
겁쟁이	겁쟁이	NNG	O
”	”+이	SS+VCP	O
라며	라며	EC	O
_	_	_	O
거침없이	거침없이	MAG	O
_	_	_	O
독설	독설	NNG	O
을	을	JKO	O
_	_	_	O
퍼붓	퍼붓	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이 과정에서 서로의 의견이 제대로 전달되지 못한 것 같다”며 “기본적으로 중국에서도 국내에서 발표하는 OST가 공식이다”고 말했다.
## 이 과정에서 서로의 의견이 제대로 전달되지 못한 것 같다”며 “기본적으로 <중국:ORG>에서도 국내에서 발표하는 OST가 공식이다”고 말했다.
이	이	MM	O
_	_	_	O
과정	과정	NNG	O
에서	에서	JKB	O
_	_	_	O
서로	서로	NNG	O
의	의	JKG	O
_	_	_	O
의견	의견	NNG	O
이	이	JKS	O
_	_	_	O
제대로	제대로	MAG	O
_	_	_	O
전달되	전달되	VV	O
지	지	EC	O
_	_	_	O
못한	못하+ㄴ	VX+ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
같	같	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
기본적	기본적	NNG	O
으로	으로	JKB	O
_	_	_	O
중국	중국	NNP	B-ORG
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
국내	국내	NNG	O
에서	에서	JKB	O
_	_	_	O
발표하	발표하	VV	O
는	는	ETM	O
_	_	_	O
OST	OST	SL	O
가	가	JKS	O
_	_	_	O
공식	공식	NNG	O
이	이	VCP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## ‘함부로 애틋하게’에 앞서 중국과 동시 방송의 첫 사례인 ‘태양의 후예’는 국내에서 출시하는 OST 그대로 현지 시청자에 소개됐다.
## ‘<함부로 애틋하게:POH>’에 앞서 <중국:ORG>과 동시 방송의 첫 사례인 ‘<태양의 후예:POH>’는 국내에서 출시하는 OST 그대로 현지 시청자에 소개됐다.
‘	‘	SS	O
함부로	함부로	MAG	B-POH
_	_	_	I-POH
애틋하	애틋하	VA	I-POH
게	게	EF	I-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
앞서	앞서+어	VV+EC	O
_	_	_	O
중국	중국	NNP	B-ORG
과	과	JC	O
_	_	_	O
동시	동시	NNG	O
_	_	_	O
방송	방송	NNG	O
의	의	JKG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
사례	사례	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
‘	‘	SS	O
태양	태양	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
후예	후예	NNG	I-POH
’	’	SS	O
는	는	JX	O
_	_	_	O
국내	국내	NNG	O
에서	에서	JKB	O
_	_	_	O
출시하	출시하	VV	O
는	는	ETM	O
_	_	_	O
OST	OST	SL	O
_	_	_	O
그대로	그대로	MAG	O
_	_	_	O
현지	현지	NNG	O
_	_	_	O
시청자	시청자	NNG	O
에	에	JKB	O
_	_	_	O
소개	소개되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 이를 반영하듯 미국의 공통원서제출 시스템인 Common Application의 보완재로서 The Coalition이 학생 개인의 성적뿐만이 아닌 Digital Portfolio, 즉 동영상 및 개별 프로젝트, 소논문 등을 자유롭게 업로드 하여 학생의 모든 면을 파악하여 지원 대학에 어울릴만한 인재를 찾기 시작했다.
## 이를 반영하듯 <미국:ORG>의 공통원서제출 시스템인 Common Application의 보완재로서 The Coalition이 학생 개인의 성적뿐만이 아닌 Digital Portfolio, 즉 동영상 및 개별 프로젝트, 소논문 등을 자유롭게 업로드 하여 학생의 모든 면을 파악하여 지원 대학에 어울릴만한 인재를 찾기 시작했다.
이	이	NP	O
를	를	JKO	O
_	_	_	O
반영하	반영하	VV	O
듯	듯	EC	O
_	_	_	O
미국	미국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
공통	공통	NNG	O
원서	원서	NNG	O
제출	제출	NNG	O
_	_	_	O
시스템	시스템	NNG	O
