## 1
## 그는 “한중 양국 정치적 환경을 고려하면 일부 국민 여론이 국가 영사정책에 영향을 끼칠수 없을 것”이라며 “한국은 이 방면에서 신중하게 처리할 것”이라고 밝혔다.
## 그는 “<한중:ORG> <양:NOH>국 정치적 환경을 고려하면 일부 국민 여론이 국가 영사정책에 영향을 끼칠수 없을 것”이라며 “<한국:ORG>은 이 방면에서 신중하게 처리할 것”이라고 밝혔다.
그	그	NP	O
는	는	JX	O
_	_	_	O
“	“	SS	O
한중	한중	NNP	B-ORG
_	_	_	O
양국	양국	NNG	O
_	_	_	O
정치적	정치적	NNG	O
_	_	_	O
환경	환경	NNG	O
을	을	JKO	O
_	_	_	O
고려하	고려하	VV	O
면	면	EC	O
_	_	_	O
일부	일부	NNG	O
_	_	_	O
국민	국민	NNG	O
_	_	_	O
여론	여론	NNG	O
이	이	JKS	O
_	_	_	O
국가	국가	NNG	O
_	_	_	O
영사	영사	NNG	O
정책	정책	NNG	O
에	에	JKB	O
_	_	_	O
영향	영향	NNG	O
을	을	JKO	O
_	_	_	O
끼칠	끼치+ㄹ	VV+ETM	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
을	을	ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
한국	한국	NNP	B-ORG
은	은	JX	O
_	_	_	O
이	이	MM	O
_	_	_	O
방면	방면	NNG	O
에서	에서	JKB	O
_	_	_	O
신중하	신중하	VA	O
게	게	EC	O
_	_	_	O
처리할	처리하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 우리 돈으로 약 1168억 원을 눈에 쏟아 붓는 셈이다.
## 우리 돈으로 약 <1168억 원:MNY>을 눈에 쏟아 붓는 셈이다.
우리	우리	NP	O
_	_	_	O
돈	돈	NNG	O
으로	으로	JKB	O
_	_	_	O
약	약	MM	O
_	_	_	O
1168	1168	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
눈	눈	NNG	O
에	에	JKB	O
_	_	_	O
쏟	쏟	VV	O
아	아	EC	O
_	_	_	O
붓	붓	VV	O
는	는	ETM	O
_	_	_	O
셈	셈	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 오늘도 8시 20분, 1교시 수업 종과 함께 들어온 교사는 “자, 오늘 진도 어디지?”라는 말 대신 “자습!”이라는 짧은 말로 수업을 마친다.
## 오늘도 <8시 20분:TIM>, <1교시:NOH> 수업 종과 함께 들어온 교사는 “자, 오늘 진도 어디지?”라는 말 대신 “자습!”이라는 짧은 말로 수업을 마친다.
오늘	오늘	NNG	O
도	도	JX	O
_	_	_	O
8	8	SN	B-TIM
시	시	NNB	I-TIM
_	_	_	I-TIM
20	20	SN	I-TIM
분	분	NNB	I-TIM
,	,	SP	O
_	_	_	O
1	1	SN	B-NOH
교시	교시	NNB	I-NOH
_	_	_	O
수업	수업	NNG	O
_	_	_	O
종	종	NNG	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
들어온	들어오+ㄴ	VV+ETM	O
_	_	_	O
교사	교사	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
자	자	IC	O
,	,	SP	O
_	_	_	O
