## 1
## 결국 허지웅은 “본의 아니게 피해를 끼쳐드려 굉장히 죄송하다”며 동네 주민에게 고개 숙여 사과의 말을 전했다.
## 결국 <허지웅:PER>은 “본의 아니게 피해를 끼쳐드려 굉장히 죄송하다”며 동네 주민에게 고개 숙여 사과의 말을 전했다.
결국	결국	NNG	O
_	_	_	O
허지웅	허지웅	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
본의	본의	NNG	O
_	_	_	O
아니	아니	VCN	O
게	게	EC	O
_	_	_	O
피해	피해	NNG	O
를	를	JKO	O
_	_	_	O
끼쳐	끼치+어	VV+EC	O
드려	드리+어	VX+EC	O
_	_	_	O
굉장히	굉장히	MAG	O
_	_	_	O
죄송하	죄송하	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
동네	동네	NNG	O
_	_	_	O
주민	주민	NNG	O
에게	에게	JKB	O
_	_	_	O
고개	고개	NNG	O
_	_	_	O
숙	숙이	VV	O
여	어	EC	O
_	_	_	O
사과	사과	NNG	O
의	의	JKG	O
_	_	_	O
말	말	NNG	O
을	을	JKO	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 한편 ‘무성욕자’ 허지웅의 돌아온 성욕에 대한 에피소드는 19일 방송되는 ‘마녀사냥’에서 확인할 수 있다.
## 한편 ‘무성욕자’ <허지웅:PER>의 돌아온 성욕에 대한 에피소드는 <19일:DAT> 방송되는 ‘<마녀사냥:POH>’에서 확인할 수 있다.
한편	한편	MAG	O
_	_	_	O
‘	‘	SS	O
무	무	XPN	O
성욕	성욕	NNG	O
자	자	XSN	O
’	’	SS	O
_	_	_	O
허지웅	허지웅	NNP	B-PER
의	의	JKG	O
_	_	_	O
돌아온	돌아오+ㄴ	VV+ETM	O
_	_	_	O
성욕	성욕	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
에피소드	에피소드	NNG	O
는	는	JX	O
_	_	_	O
19	19	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
방송되	방송되	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
마녀	마녀	NNG	B-POH
사냥	사냥	NNG	I-POH
’	’	SS	O
에서	에서	JKB	O
_	_	_	O
확인할	확인하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 스포츠동아는 새해 새 출발선에 선 프로야구 각 구단 감독을 만나 팬들이 궁금해할만한 얘기들을 속속들이 물어보는 코너 ‘프로야구 10구단 시대, 감독들에게 듣는다’를 마련했다.
