## 1
## 볼트의 유일한 약점은 출발이 느리다는 것이다.
## <볼트:PER>의 유일한 약점은 출발이 느리다는 것이다.
볼트	볼트	NNB	B-PER
의	의	JKG	O
_	_	_	O
유일한	유일하+ㄴ	VA+ETM	O
_	_	_	O
약점	약점	NNG	O
은	은	JX	O
_	_	_	O
출발	출발	NNG	O
이	이	JKS	O
_	_	_	O
느리	느리	VA	O
다는	다는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## “사람을 죽인다면 제일 먼저 아버지를 죽이겠다”고 말한 길모어였지만 어렸을 때에는 한때 성직자가 되고 싶다는 열망을 품었었다.
## “사람을 죽인다면 제일 먼저 아버지를 죽이겠다”고 말한 <길모어:PER>였지만 어렸을 때에는 한때 성직자가 되고 싶다는 열망을 품었었다.
“	“	SS	O
사람	사람	NNG	O
을	을	JKO	O
_	_	_	O
죽인다면	죽이+ㄴ다면	VV+EC	O
_	_	_	O
제일	제일	MAG	O
_	_	_	O
먼저	먼저	MAG	O
_	_	_	O
아버지	아버지	NNG	O
를	를	JKO	O
_	_	_	O
죽이	죽이	VV	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말한	말하+ㄴ	VV+ETM	O
_	_	_	O
길모어	길모어+이	NNP+VCP	B-PER
였	었	EP	O
지만	지만	EC	O
_	_	_	O
어	어리	VA	O
렸	었	EP	O
을	을	ETM	O
_	_	_	O
때	때	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
한때	한때	NNG	O
_	_	_	O
성직자	성직자	NNG	O
가	가	JKC	O
_	_	_	O
되	되	VV	O
고	고	EC	O
_	_	_	O
싶	싶	VX	O
다는	다는	ETM	O
_	_	_	O
열망	열망	NNG	O
을	을	JKO	O
_	_	_	O
품	품	VV	O
었었	었었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 어머니가 예수그리스도후기성도교회(모르몬교) 신자, 아버지는 가톨릭이었다.
## 어머니가 <예수그리스도후기성도교회:ORG>(<모르몬교:ORG>) 신자, 아버지는 가톨릭이었다.
어머니	어머니	NNG	O
가	가	JKS	O
_	_	_	O
예수그리스도	예수그리스도	NNP	B-ORG
후기	후기	NNG	I-ORG
성도	성도	NNG	I-ORG
교회	교회	NNG	I-ORG
(	(	SS	O
모르몬교	모르몬교	NNG	B-ORG
)	)	SS	O
_	_	_	O
신자	신자	NNG	O
,	,	SP	O
_	_	_	O
아버지	아버지	NNG	O
는	는	JX	O
_	_	_	O
가톨릭	가톨릭	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 하지만 허리 디스크의 경우 가만히 앉아 있거나 서 있을 때 통증이 심하고, 허리를 앞으로 숙이면 다리나 엉덩이에 통증이나 당김 증상이 증가한다는 점에서 척추관협착증과는 다르다.
## 하지만 허리 디스크의 경우 가만히 앉아 있거나 서 있을 때 통증이 심하고, 허리를 앞으로 숙이면 다리나 엉덩이에 통증이나 당김 증상이 증가한다는 점에서 <척추관협착증:POH>과는 다르다.
하지만	하지만	MAJ	O
_	_	_	O
허리	허리	NNG	O
_	_	_	O
디스크	디스크	NNG	O
의	의	JKG	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
가만히	가만히	MAG	O
_	_	_	O
앉	앉	VV	O
아	아	EC	O
_	_	_	O
있	있	VX	O
거나	거나	EC	O
_	_	_	O
서	서+어	VV+EC	O
_	_	_	O
있	있	VX	O
을	을	ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
통증	통증	NNG	O
이	이	JKS	O
_	_	_	O
심하	심하	VA	O
고	고	EC	O
,	,	SP	O
_	_	_	O
허리	허리	NNG	O
를	를	JKO	O
_	_	_	O
앞	앞	NNG	O
으로	으로	JKB	O
_	_	_	O
숙이	숙이	VV	O
면	면	EC	O
_	_	_	O
다리	다리	NNG	O
나	나	JC	O
_	_	_	O
엉덩이	엉덩이	NNG	O
에	에	JKB	O
_	_	_	O
통증	통증	NNG	O
이나	이나	JX	O
_	_	_	O
당김	당기+ㅁ	VV+ETN	O
_	_	_	O
증상	증상	NNG	O
이	이	JKS	O
_	_	_	O
증가한다는	증가하+ㄴ다는	VV+ETM	O
_	_	_	O
점	점	NNG	O
에서	에서	JKB	O
_	_	_	O
척추관	척추관	NNG	B-POH
협착증	협착증	NNG	I-POH
과	과	JKB	O
는	는	JX	O
_	_	_	O
다르	다르	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 한국GM, 크루즈 부분변경 모델 발표
## <한국GM:ORG>, <크루즈:PER> 부분변경 모델 발표
