## 1
## 다섯 살 정도 되어 보이는 그 아이는 대답 없이 울기만 했다.
## <다섯 살:NOH> 정도 되어 보이는 그 아이는 대답 없이 울기만 했다.
다섯	다섯	NR	B-NOH
_	_	_	I-NOH
살	살	NNB	I-NOH
_	_	_	O
정도	정도	NNG	O
_	_	_	O
되	되	VV	O
어	어	EC	O
_	_	_	O
보이	보이	VV	O
는	는	ETM	O
_	_	_	O
그	그	MM	O
_	_	_	O
아이	아이	NNG	O
는	는	JX	O
_	_	_	O
대답	대답	NNG	O
_	_	_	O
없이	없이	MAG	O
_	_	_	O
울	울	VV	O
기	기	ETN	O
만	만	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 온라인 중앙일보 ‘쌍용차 어린이 교통안전’. [사진 쌍용차]
## <온라인 중앙일보:LOC> ‘<쌍용차:ORG> 어린이 교통안전’. [사진 <쌍용차:ORG>]
온라인	온라인	NNG	B-LOC
_	_	_	I-LOC
중앙일보	중앙일보	NNP	I-LOC
_	_	_	O
‘	‘	SS	O
쌍용차	쌍용차	NNP	B-ORG
_	_	_	O
어린이	어린이	NNG	O
_	_	_	O
교통	교통	NNG	O
안전	안전	NNG	O
’	’	SS	O
.	.	SF	O
_	_	_	O
[	[	SS	O
사진	사진	NNG	O
_	_	_	O
쌍용차	쌍용차	NNP	B-ORG
]	]	SS	O

## 3
## 연세대 의대가 1급 장애인을 선발한 것은 이번이 처음이다.
## <연세대 의대:ORG>가 <1급:NOH> 장애인을 선발한 것은 이번이 처음이다.
연세대	연세대	NNP	B-ORG
_	_	_	I-ORG
의대	의대	NNG	I-ORG
가	가	JKS	O
_	_	_	O
1	1	SN	B-NOH
급	급	NNG	I-NOH
_	_	_	O
장애인	장애인	NNG	O
을	을	JKO	O
_	_	_	O
선발한	선발하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
이번	이번	NNG	O
이	이	JKS	O
_	_	_	O
처음	처음	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 하지만 복지부는 절대 불가 입장이다.
## 하지만 <복지부:ORG>는 절대 불가 입장이다.
하지만	하지만	MAJ	O
_	_	_	O
복지	복지	NNG	B-ORG
부	부	XSN	I-ORG
는	는	JX	O
_	_	_	O
절대	절대	NNG	O
_	_	_	O
불가	불가	NNG	O
_	_	_	O
입장	입장	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 광주시가 2013년 말 열차 승객을 조사한 결과 광주역 이용객이 53%로 송정역(47%)보다 8%포인트가 많았다.
## <광주시:ORG>가 <2013년:DAT> 말 열차 승객을 조사한 결과 <광주역:ORG> 이용객이 <53%:PNT>로 <송정역:ORG>(<47%:PNT>)보다 <8%포인트:PNT>가 많았다.
광주시	광주시	NNP	B-ORG
가	가	JKS	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
말	말	NNB	O
_	_	_	O
열차	열차	NNG	O
_	_	_	O
승객	승객	NNG	O
을	을	JKO	O
_	_	_	O
조사한	조사하+ㄴ	VV+ETM	O
_	_	_	O
결과	결과	NNG	O
_	_	_	O
광주역	광주역	NNP	B-ORG
_	_	_	O
이용객	이용객	NNG	O
이	이	JKS	O
_	_	_	O
53	53	SN	B-PNT
%	%	SW	I-PNT
로	로	JKB	O
_	_	_	O
송정역	송정역	NNP	B-ORG
(	(	SS	O
47	47	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
보다	보다	JKB	O
_	_	_	O
8	8	SN	B-PNT
%	%	SW	I-PNT
포인트	포인트	NNG	I-PNT
가	가	JKS	O
_	_	_	O
많	많	VA	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 6
## ‘집밥 백선생’ 갈비찜, 레시피 공개 “채소에도 넣는 순서가 있다”…순서는?‘집밥 백선생’ 백종원이 21일 예고 된 바와 같이 갈비찜을 만들어 눈길을 끌었다.
## ‘<집밥 백선생:POH>’ 갈비찜, 레시피 공개 “채소에도 넣는 순서가 있다”…순서는?‘<집밥 백선생:POH>’ <백종원:PER>이 <21일:DAT> 예고 된 바와 같이 갈비찜을 만들어 눈길을 끌었다.
‘	‘	SS	O
집	집	NNG	B-POH
밥	밥	NNG	I-POH
_	_	_	I-POH
백	백	NNP	I-POH
선생	선생	NNG	I-POH
’	’	SS	O
_	_	_	O
갈비찜	갈비찜	NNG	O
,	,	SP	O
_	_	_	O
레시피	레시피	NNG	O
_	_	_	O
공개	공개	NNG	O
_	_	_	O
“	“	SS	O
채소	채소	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
넣	넣	VV	O
는	는	ETM	O
_	_	_	O
순서	순서	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
…	…	SE	O
순서	순서	NNG	O
는	는	JX	O
?	?	SF	O
‘	‘	SS	O
집	집	NNG	B-POH
밥	밥	NNG	I-POH
_	_	_	I-POH
백	백	NNP	I-POH
선생	선생	NNG	I-POH
’	’	SS	O
_	_	_	O
