## 1
## 대부분 “추가 인하를 짐작은 했지만 3월에 내릴 줄은 예상치 못했다”는 반응이다.
## 대부분 “추가 인하를 짐작은 했지만 <3월:DAT>에 내릴 줄은 예상치 못했다”는 반응이다.
대부분	대부분	NNG	O
_	_	_	O
“	“	SS	O
추가	추가	NNG	O
_	_	_	O
인하	인하	NNG	O
를	를	JKO	O
_	_	_	O
짐작	짐작	NNG	O
은	은	JX	O
_	_	_	O
했	+였	+EP	O
지만	지만	EC	O
_	_	_	O
3	3	SN	B-DAT
월	월	NNB	I-DAT
에	에	JKB	O
_	_	_	O
내릴	내리+ㄹ	VV+ETM	O
_	_	_	O
줄	줄	NNB	O
은	은	JX	O
_	_	_	O
예상	예상하	VV	O
치	지	EC	O
_	_	_	O
못	못하	VX	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
는	는	JX	O
_	_	_	O
반응	반응	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 우월한 기럭지와 범접할 수 없는 분위기에 인천공항을 단번에 ‘런웨이’로 만들었다고. 한편, 가수 비의 카리스마 넘치는 ‘락시크‘ 스타일을 돋보이게 한 가죽재킷과 가방, 선글라스는 모두 럭셔리 브랜드 MCM 제품으로 알려졌다.
## 우월한 기럭지와 범접할 수 없는 분위기에 <인천공항:LOC>을 단번에 ‘런웨이’로 만들었다고. 한편, 가수 <비:PER>의 카리스마 넘치는 ‘<락시크:POH>‘ 스타일을 돋보이게 한 가죽재킷과 가방, 선글라스는 모두 럭셔리 브랜드 <MCM:ORG> 제품으로 알려졌다.
우월한	우월하+ㄴ	VA+ETM	O
_	_	_	O
기럭지	기럭지	NNG	O
와	와	JC	O
_	_	_	O
범접할	범접하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
분위기	분위기	NNG	O
에	에	JKB	O
_	_	_	O
인천공항	인천공항	NNP	B-LOC
을	을	JKO	O
_	_	_	O
단번에	단번에	MAG	O
_	_	_	O
‘	‘	SS	O
런	런	NNG	O
웨이	웨이	NNG	O
’	’	SS	O
로	로	JKB	O
_	_	_	O
만들	만들	VV	O
었	었	EP	O
다고	다고	EF	O
.	.	SF	O
_	_	_	O
한편	한편	NNG	O
,	,	SP	O
_	_	_	O
가수	가수	NNG	O
_	_	_	O
비	비	NNG	B-PER
의	의	JKG	O
_	_	_	O
카리스마	카리스마	NNG	O
_	_	_	O
넘치	넘치	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
락	락	NNG	B-POH
시크	시크	NNG	I-POH
‘	‘	SS	O
_	_	_	O
스타일	스타일	NNG	O
을	을	JKO	O
_	_	_	O
돋보이	돋보이	VV	O
게	게	EC	O
_	_	_	O
한	하+ㄴ	VX+ETM	O
_	_	_	O
가죽	가죽	NNG	O
재킷	재킷	NNG	O
과	과	JC	O
_	_	_	O
가방	가방	NNG	O
,	,	SP	O
_	_	_	O
선글라스	선글라스	NNG	O
는	는	JX	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
럭셔리	럭셔리	NNG	O
_	_	_	O
브랜드	브랜드	NNG	O
_	_	_	O
MCM	MCM	SL	B-ORG
_	_	_	O
제품	제품	NNG	O
으로	으로	JKB	O
_	_	_	O
알려	알려지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이날 안철수와 문재인은 당의 위기상황에 대한 인식을 공유하고 재보선 참패 후 민심을 어떻게 추스를지 등을 논의한 것으로 알려졌다.
## 이날 <안철수:PER>와 <문재인:PER>은 당의 위기상황에 대한 인식을 공유하고 재보선 참패 후 민심을 어떻게 추스를지 등을 논의한 것으로 알려졌다.
이날	이날	NNG	O
_	_	_	O
안철수	안철수	NNP	B-PER
와	와	JC	O
_	_	_	O
문재인	문재인	NNP	B-PER
은	은	JX	O
_	_	_	O
당	당	NNG	O
의	의	JKG	O
_	_	_	O
위기	위기	NNG	O
상황	상황	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
인식	인식	NNG	O
을	을	JKO	O
_	_	_	O
공유하	공유하	VV	O
고	고	EC	O
_	_	_	O
재	재	XPN	O
보선	보선	NNG	O
_	_	_	O
참패	참패	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
민심	민심	NNG	O
을	을	JKO	O
_	_	_	O
어떻	어떻	VA	O
게	게	EC	O
_	_	_	O
추스를지	추스르+ㄹ지	VV+EC	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
논의한	논의하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려	알려지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 또 주차면수(390대) 부족 문제를 해소하기 위해 210면 규모의 주차장을 추가로 조성하고 있다.
## 또 주차면수(<390대:NOH>) 부족 문제를 해소하기 위해 <210면:NOH> 규모의 주차장을 추가로 조성하고 있다.
또	또	MAG	O
_	_	_	O
주차면	주차면	NNG	O
수	수	NNG	O
(	(	SS	O
390	390	SN	B-NOH
대	대	NNB	I-NOH
)	)	SS	O
_	_	_	O
부족	부족	NNG	O
_	_	_	O
문제	문제	NNG	O
를	를	JKO	O
_	_	_	O
해소하	해소하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
210	210	SN	B-NOH
면	면	NNG	I-NOH
_	_	_	O
규모	규모	NNG	O
의	의	JKG	O
_	_	_	O
주차장	주차장	NNG	O
을	을	JKO	O
_	_	_	O
추가	추가	NNG	O
로	로	JKB	O
_	_	_	O
조성하	조성하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 5
## 광주시도 SRT 개통에 따른 송정역 혼잡 문제를 해결하기 위한 대책 마련에 나섰다.
## <광주시:ORG>도 <SRT:POH> 개통에 따른 송정역 혼잡 문제를 해결하기 위한 대책 마련에 나섰다.
광주	광주	NNP	B-ORG
시도	시도	NNG	O
_	_	_	O
SRT	SRT	SL	B-POH
_	_	_	O
개통	개통	NNG	O
에	에	JKB	O
_	_	_	O
따른	따르+ㄴ	VV+ETM	O
_	_	_	O
송정역	송정역	NNP	O
_	_	_	O
혼잡	혼잡	NNG	O
_	_	_	O
문제	문제	NNG	O
를	를	JKO	O
_	_	_	O
해결하	해결하	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
대책	대책	NNG	O
_	_	_	O
마련	마련	NNG	O
에	에	JKB	O
_	_	_	O
나섰	나서+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 6
## 영국 파이낸셜타임스는 28일 ‘한국 대통령은 나라를 최우선으로 여겨야 한다’는 제목의 사설에서 “박 대통령은 당장 검찰을 만나 최순실과의 관계를 모두 털어놓아야 하고 아니면 즉각 사임해 한국이 몇 달, 몇 년간 마비와 정치적 다툼에 휘말리는 것을 막아야 한다”며 검찰 수사와 하야를 촉구했다.
## <영국 파이낸셜타임스:ORG>는 <28일:DAT> ‘<한국:ORG> 대통령은 나라를 최우선으로 여겨야 한다’는 제목의 사설에서 “<박:PER> 대통령은 당장 검찰을 만나 <최순실:PER>과의 관계를 모두 털어놓아야 하고 아니면 즉각 사임해 <한국:ORG>이 몇 달, 몇 년간 마비와 정치적 다툼에 휘말리는 것을 막아야 한다”며 검찰 수사와 하야를 촉구했다.
영국	영국	NNP	B-ORG
_	_	_	I-ORG
파이낸셜타임스	파이낸셜타임스	NNP	I-ORG
는	는	JX	O
_	_	_	O
28	28	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
‘	‘	SS	O
한국	한국	NNP	B-ORG
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
나라	나라	NNG	O
를	를	JKO	O
_	_	_	O
최우선	최우선	NNG	O
으로	으로	JKB	O
_	_	_	O
여겨야	여기+어야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
’	’	SS	O
는	는	JX	O
_	_	_	O
제목	제목	NNG	O
의	의	JKG	O
_	_	_	O
사설	사설	NNG	O
에서	에서	JKB	O
_	_	_	O
“	“	SS	O
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
당장	당장	NNG	O
_	_	_	O
검찰	검찰	NNG	O
을	을	JKO	O
_	_	_	O
만나	만나+아	VV+EC	O
_	_	_	O
최순실	최순실	NNP	B-PER
과	과	JKB	O
의	의	JKG	O
_	_	_	O
관계	관계	NNG	O
를	를	JKO	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
털어놓	털어놓	VV	O
아야	아야	EC	O
_	_	_	O
하	하	VX	O
고	고	EC	O
_	_	_	O
아니	아니	VCN	O
면	면	EC	O
_	_	_	O
즉각	즉각	MAG	O
_	_	_	O
사임해	사임하+여	VV+EC	O
_	_	_	O
한국	한국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
몇	몇	MM	O
_	_	_	O
달	달	NNB	O
,	,	SP	O
_	_	_	O
몇	몇	MM	O
_	_	_	O
년	년	NNB	O
간	간	XSN	O
_	_	_	O
마비	마비	NNG	O
와	와	JC	O
_	_	_	O
정치적	정치적	NNG	O
_	_	_	O
다툼	다툼	NNG	O
에	에	JKB	O
_	_	_	O
휘말리	휘말리	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
막	막	VV	O
아야	아야	EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
검찰	검찰	NNG	O
_	_	_	O
수사	수사	NNG	O
와	와	JC	O
_	_	_	O
하야	하야	NNG	O
를	를	JKO	O
_	_	_	O
촉구	촉구하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 보리스 존슨(52) 전 런던시장과 테리사 메이(60) 내무장관이다.
## <보리스 존슨:PER>(<52:NOH>) 전 런던시장과 <테리사 메이:PER>(<60:NOH>) 내무장관이다.
보리스	보리스	NNP	B-PER
_	_	_	I-PER
존슨	존슨	NNP	I-PER
(	(	SS	O
52	52	SN	B-NOH
)	)	SS	O
_	_	_	O
전	전	MM	O
_	_	_	O
런던	런던	NNP	O
시장	시장	NNG	O
과	과	JC	O
_	_	_	O
테리	테리	NNP	B-PER
사	사	NNG	I-PER
_	_	_	I-PER
메이	메이	NNP	I-PER
(	(	SS	O
60	60	SN	B-NOH
)	)	SS	O
_	_	_	O
내무	내무	NNG	O
장관	장관	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 양측 갈등의 골이 깊어지면 내년 19차 전당대회에서 리 총리가 연임하지 못할 수도 있다는 관측도 나온다.
## 양측 갈등의 골이 깊어지면 내년 <19차:NOH> 전당대회에서 리 총리가 연임하지 못할 수도 있다는 관측도 나온다.
양측	양측	NNG	O
_	_	_	O
갈등	갈등	NNG	O
의	의	JKG	O
_	_	_	O
골	골	NNG	O
이	이	JKS	O
_	_	_	O
깊어지	깊어지	VV	O
면	면	EC	O
_	_	_	O
내년	내년	NNG	O
_	_	_	O
19	19	SN	B-NOH
차	차	NNB	I-NOH
_	_	_	O
전당대회	전당대회	NNG	O
에서	에서	JKB	O
_	_	_	O
리	리	NNP	O
_	_	_	O
총리	총리	NNG	O
가	가	JKS	O
_	_	_	O
연임하	연임하	VV	O
지	지	EC	O
_	_	_	O
못할	못하+ㄹ	VX+ETM	O
_	_	_	O
수	수	NNB	O
도	도	JX	O
_	_	_	O
있	있	VA	O
다는	다는	ETM	O
_	_	_	O
관측	관측	NNG	O
도	도	JX	O
_	_	_	O
나온다	나오+ㄴ다	VV+EF	O
.	.	SF	O

## 9
## 이승환 고려대 철학과 교수가 추천한 ‘역천자망’은 맹자(孟子)에 나오는 말로 “천리를 거스르는 자는 패망한다”는 뜻이다.
## <이승환:PER> <고려대 철학과:ORG> 교수가 추천한 ‘<역천자망:POH>’은 <맹자:POH>(<孟子:POH>)에 나오는 말로 “천리를 거스르는 자는 패망한다”는 뜻이다.
이승환	이승환	NNP	B-PER
_	_	_	O
고려대	고려대	NNP	B-ORG
_	_	_	I-ORG
철학	철학	NNG	I-ORG
과	과	NNG	I-ORG
_	_	_	O
교수	교수	NNG	O
가	가	JKS	O
_	_	_	O
추천한	추천하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
역천자	역천자	NNG	B-POH
망	망	NNG	I-POH
’	’	SS	O
은	은	JX	O
_	_	_	O
맹자	맹자	NNP	B-POH
(	(	SS	O
孟子	孟子	SH	B-POH
)	)	SS	O
에	에	JKB	O
_	_	_	O
나오	나오	VV	O
는	는	ETM	O
_	_	_	O
말	말	NNG	O
로	로	JKB	O
_	_	_	O
“	“	SS	O
천	천	NR	O
리	리	NNB	O
를	를	JKO	O
_	_	_	O
거스르	거스르	VV	O
는	는	ETM	O
_	_	_	O
자	자	NNB	O
는	는	JX	O
_	_	_	O
패망한다	패망하+ㄴ다	VV+EF	O
”	”	SS	O
는	는	JX	O
_	_	_	O
뜻	뜻	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 10
## 새정치연합 최재성 의원은 전날 추도식 현장에서 “대통령님으로 방패 삼는 사람들이나 창을 드는 사람이나 (모두) 구(舊)정치다.
## <새정치연합:ORG> <최재성:PER> 의원은 전날 추도식 현장에서 “대통령님으로 방패 삼는 사람들이나 창을 드는 사람이나 (모두) 구(舊)정치다.
새정치연합	새정치연합	NNP	B-ORG
_	_	_	O
최재성	최재성	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
은	은	JX	O
_	_	_	O
전날	전날	NNG	O
_	_	_	O
추도식	추도식	NNG	O
_	_	_	O
현장	현장	NNG	O
에서	에서	JKB	O
_	_	_	O
“	“	SS	O
대통령	대통령	NNG	O
님	님	XSN	O
으로	으로	JKB	O
_	_	_	O
방패	방패	NNG	O
_	_	_	O
삼	삼	VV	O
는	는	ETM	O
_	_	_	O
사람	사람	NNG	O
들	들	XSN	O
이나	이나	JC	O
_	_	_	O
창	창	NNG	O
을	을	JKO	O
_	_	_	O
드	들	VV	O
는	는	ETM	O
_	_	_	O
사람	사람	NNG	O
이나	이나	JC	O
_	_	_	O
(	(	SS	O
모두	모두	MAG	O
)	)	SS	O
_	_	_	O
구	구	NNG	O
(	(	SS	O
舊	舊	SH	O
)	)	SS	O
정치	정치+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 11
## 참담하고 부끄럽다”는 자성의 목소리를 트위터에 남겼다.
## 참담하고 부끄럽다”는 자성의 목소리를 <트위터:POH>에 남겼다.
참담하	참담하	VA	O
고	고	EC	O
_	_	_	O
부끄럽	부끄럽	VA	O
다	다	EF	O
”	”	SS	O
는	는	JX	O
_	_	_	O
자성	자성	NNG	O
의	의	JKG	O
_	_	_	O
목소리	목소리	NNG	O
를	를	JKO	O
_	_	_	O
트위터	트위터	NNP	B-POH
에	에	JKB	O
_	_	_	O
남	남기	VV	O
겼	었	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 글=서승욱·이지상 기자 sswook@joongang.co.kr 사진=송봉근 기자
## 글=<서승욱:PER>·<이지상:PER> 기자 <sswook@joongang.co.kr:POH> 사진=<송봉근:PER> 기자
글	글	NNG	O
=	=	SW	O
서승욱	서승욱	NNP	B-PER
·	·	SP	O
이지상	이지상	NNP	B-PER
_	_	_	O
기자	기자	NNG	O
_	_	_	O
sswook	sswook	SL	B-POH
@	@	SW	I-POH
joongang	joongang	SL	I-POH
.	.	SF	I-POH
co	co	SL	I-POH
.	.	SF	I-POH
kr	kr	SL	I-POH
_	_	_	O
사진	사진	NNG	O
=	=	SW	O
송봉근	송봉근	NNP	B-PER
_	_	_	O
기자	기자	NNG	O

## 13
## “서울외곽순환고속道 북부구간 통행료 너무 비싸다”
## “<서울외곽순환고속道:LOC> 북부구간 통행료 너무 비싸다”
“	“	SS	O
서울	서울	NNP	B-LOC
외곽	외곽	NNG	I-LOC
순환	순환	NNG	I-LOC
고속	고속	NNG	I-LOC
道	道	SH	I-LOC
_	_	_	O
북부	북부	NNG	O
구간	구간	NNG	O
_	_	_	O
통행료	통행료	NNG	O
_	_	_	O
너무	너무	MAG	O
_	_	_	O
비싸	비싸	VA	O
다	다	EF	O
”	”	SS	O

