## 1
## 박 전 대표는 졸지에 파렴치한 상사로 낙인찍혔다.
## <박:PER> 전 대표는 졸지에 파렴치한 상사로 낙인찍혔다.
박	박	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
졸지	졸지	NNG	O
에	에	JKB	O
_	_	_	O
파렴치한	파렴치하+ㄴ	VA+ETM	O
_	_	_	O
상사	상사	NNG	O
로	로	JKB	O
_	_	_	O
낙인찍	낙인찍히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## ‘고고도미사일방어(THAADㆍ사드) 체계 도입 논란’으로 인한 현지 수요 감소, 중국 정부의 규제 강화 등이 원인으로 보인다.
## ‘<고고도미사일방어:POH>(<THAADㆍ사드:POH>) 체계 도입 논란’으로 인한 현지 수요 감소, <중국 정부:ORG>의 규제 강화 등이 원인으로 보인다.
‘	‘	SS	O
고고도	고고도	NNG	B-POH
미사일	미사일	NNG	I-POH
방어	방어	NNG	I-POH
(	(	SS	O
THAAD	THAAD	SL	B-POH
ㆍ	ㆍ	SP	I-POH
사드	사드	NNP	I-POH
)	)	SS	O
_	_	_	O
체계	체계	NNG	O
_	_	_	O
도입	도입	NNG	O
_	_	_	O
논란	논란	NNG	O
’	’	SS	O
으로	으로	JKB	O
_	_	_	O
인한	인하+ㄴ	VV+ETM	O
_	_	_	O
현지	현지	NNG	O
_	_	_	O
수요	수요	NNG	O
_	_	_	O
감소	감소	NNG	O
,	,	SP	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	I-ORG
정부	정부	NNG	I-ORG
의	의	JKG	O
_	_	_	O
규제	규제	NNG	O
_	_	_	O
강화	강화	NNG	O
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
원인	원인	NNG	O
으로	으로	JKB	O
_	_	_	O
보인다	보이+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 일본의 차세대에 주입하는 거라 우려됩니다.
## <일본:ORG>의 차세대에 주입하는 거라 우려됩니다.
일본	일본	NNP	B-ORG
의	의	JKG	O
_	_	_	O
차세대	차세대	NNG	O
에	에	JKB	O
_	_	_	O
주입하	주입하	VV	O
는	는	ETM	O
_	_	_	O
거	것+이	NNB+VCP	O
라	라	EC	O
_	_	_	O
우려됩니다	우려되+ㅂ니다	VV+EF	O
.	.	SF	O

## 4
## 루스벨트는 백악관에 들어선 직후 사문화한 반독점법을 꺼내 모건 등이 추진한 기업합병에 철퇴를 가했다.
## <루스벨트:PER>는 <백악관:ORG>에 들어선 직후 사문화한 <반독점법:POH>을 꺼내 모건 등이 추진한 기업합병에 철퇴를 가했다.
루스벨트	루스벨트	NNP	B-PER
는	는	JX	O
_	_	_	O
백악관	백악관	NNP	B-ORG
