## 1
## 가쓰야(岡田克也) 민진당 대표는 연설에서 안보법을 정면으로 비판하고 여당이 개헌 발의 정족수인 3분의 2 이상을 확보하지 못하도록 해달라고 호소했다.
## <가쓰야:PER>(<岡田克也:PER>) <민진당:ORG> 대표는 연설에서 안보법을 정면으로 비판하고 여당이 개헌 발의 정족수인 <3분의 2:PNT> 이상을 확보하지 못하도록 해달라고 호소했다.
가쓰	가쓰	NNP	B-PER
야	야	JX	I-PER
(	(	SS	O
岡田克也	岡田克也	SH	B-PER
)	)	SS	O
_	_	_	O
민진당	민진당	NNP	B-ORG
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
연설	연설	NNG	O
에서	에서	JKB	O
_	_	_	O
안보	안보	NNG	O
법	법	XSN	O
을	을	JKO	O
_	_	_	O
정면	정면	NNG	O
으로	으로	JKB	O
_	_	_	O
비판하	비판하	VV	O
고	고	EC	O
_	_	_	O
여당	여당	NNG	O
이	이	JKS	O
_	_	_	O
개헌	개헌	NNG	O
_	_	_	O
발	발	NNG	O
의	의	JKG	O
_	_	_	O
정족수	정족수	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
3	3	SN	B-PNT
분	분	XSN	I-PNT
의	의	JKG	I-PNT
_	_	_	I-PNT
2	2	SN	I-PNT
_	_	_	O
이상	이상	NNG	O
을	을	JKO	O
_	_	_	O
확보하	확보하	VV	O
지	지	EC	O
_	_	_	O
못하	못하	VX	O
도록	도록	EC	O
_	_	_	O
해	하+여	VX+EC	O
달	달	VX	O
라고	라고	EC	O
_	_	_	O
호소	호소하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 김 전 의원은 15일 기자회견에서 향후 선대위의 운영 계획을 밝힌 후 곧바로 선거체제의 전면에 나선다.
## <김:PER> 전 의원은 <15일:DAT> 기자회견에서 향후 <선대위:ORG>의 운영 계획을 밝힌 후 곧바로 선거체제의 전면에 나선다.
김	김	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
의원	의원	NNG	O
은	은	JX	O
_	_	_	O
15	15	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
기자	기자	NNG	O
회견	회견	NNG	O
에서	에서	JKB	O
_	_	_	O
향후	향후	NNG	O
_	_	_	O
선대위	선대위	NNG	B-ORG
의	의	JKG	O
_	_	_	O
운영	운영	NNG	O
_	_	_	O
계획	계획	NNG	O
을	을	JKO	O
_	_	_	O
밝힌	밝히+ㄴ	VV+ETM	O
_	_	_	O
후	후	NNG	O
_	_	_	O
곧바로	곧바로	MAG	O
_	_	_	O
선거	선거	NNG	O
체제	체제	NNG	O
의	의	JKG	O
_	_	_	O
전면	전면	NNG	O
에	에	JKB	O
_	_	_	O
나선다	나서+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 대통령민정수석비서관실이 지난해 ‘문화계 황태자’ 차은택 씨(전 창조경제추진단장)의 이권 개입 정황 외에 이성한 전 미르재단 사무총장의 정보를 수집했다는 증언이 10일 새로 나왔다.
## <대통령민정수석비서관실:ORG>이 지난해 ‘<문화계 황태자:PER>’ <차은택:PER> 씨(전 창조경제추진단장)의 이권 개입 정황 외에 <이성한:PER> 전 <미르재단:ORG> 사무총장의 정보를 수집했다는 증언이 <10일:DAT> 새로 나왔다.
대통령	대통령	NNG	B-ORG
민정	민정	NNG	I-ORG
수석	수석	NNG	I-ORG
비서관	비서관	NNG	I-ORG
실	실	XSN	I-ORG
이	이	JKS	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
‘	‘	SS	O
문화계	문화계	NNG	B-PER
_	_	_	I-PER
황태자	황태자	NNG	I-PER
’	’	SS	O
_	_	_	O
차은택	차은택	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
(	(	SS	O
전	전	NNP	O
_	_	_	O
창조	창조	NNG	O
경제	경제	NNG	O
추진	추진	NNG	O
단장	단장	NNG	O
)	)	SS	O
의	의	JKG	O
_	_	_	O
이권	이권	NNG	O
_	_	_	O
개입	개입	NNG	O
_	_	_	O
정황	정황	NNG	O
_	_	_	O
외	외	NNB	O
에	에	JKB	O
_	_	_	O
이성한	이성한	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
미르	미르	NNP	B-ORG
재단	재단	NNG	I-ORG
_	_	_	O
사무총장	사무총장	NNG	O
의	의	JKG	O
_	_	_	O
정보	정보	NNG	O
를	를	JKO	O
_	_	_	O
수집	수집하	VV	O
했	였	EP	O
다는	다는	ETM	O
_	_	_	O
증언	증언	NNG	O
이	이	JKS	O
_	_	_	O
10	10	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
새로	새로	MAG	O
_	_	_	O
나	나오	VV	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 4
