## 1
## 한편, ‘함정’ 은 SNS로 알게 된 외딴 섬으로 여행을 떠난 부부에게 벌어지는 뜻밖의 사건을 다룬 작품. SNS 범죄 실화가 바탕으로 9월 개봉 예정이다.
## 한편, ‘<함정:POH>’ 은 SNS로 알게 된 외딴 섬으로 여행을 떠난 부부에게 벌어지는 뜻밖의 사건을 다룬 작품. SNS 범죄 실화가 바탕으로 <9월:DAT> 개봉 예정이다.
한편	한편	NNG	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
함정	함정	NNG	B-POH
’	’	SS	O
_	_	_	O
은	은	JX	O
_	_	_	O
SNS	SNS	SL	O
로	로	JKB	O
_	_	_	O
알	알	VV	O
게	게	EC	O
_	_	_	O
된	되+ㄴ	VV+ETM	O
_	_	_	O
외딴	외딴	MM	O
_	_	_	O
섬	섬	NNG	O
으로	으로	JKB	O
_	_	_	O
여행	여행	NNG	O
을	을	JKO	O
_	_	_	O
떠난	떠나+ㄴ	VV+ETM	O
_	_	_	O
부부	부부	NNG	O
에게	에게	JKB	O
_	_	_	O
벌어지	벌어지	VV	O
는	는	ETM	O
_	_	_	O
뜻밖	뜻밖	NNG	O
의	의	JKG	O
_	_	_	O
사건	사건	NNG	O
을	을	JKO	O
_	_	_	O
다룬	다루+ㄴ	VV+ETM	O
_	_	_	O
작품	작품	NNG	O
.	.	SF	O
_	_	_	O
SNS	SNS	SL	O
_	_	_	O
범죄	범죄	NNG	O
_	_	_	O
실화	실화	NNG	O
가	가	JKS	O
_	_	_	O
바탕	바탕	NNG	O
으로	으로	JKB	O
_	_	_	O
9	9	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
개봉	개봉	NNG	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 2013∼2015년에는 매년 18명이 가입했다.
## <2013∼2015년:DUR>에는 매년 <18명:NOH>이 가입했다.
2013	2013	SN	B-DUR
∼	∼	SO	I-DUR
2015	2015	SN	I-DUR
년	년	NNB	I-DUR
에	에	JKB	O
는	는	JX	O
_	_	_	O
매년	매년	MAG	O
_	_	_	O
18	18	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
가입	가입하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 박근혜 대통령의 동생 박지만 EG 회장(57·사진)이 21일 법정에서의 공개 증언을 통해 “(박 대통령의 옛 측근인) 정윤회 씨가 나를 미행했다는 설과 관련해 측근인 전모 씨에게 알아보라고 지시한 적이 있다”고 밝혔다.
## <박근혜:PER> 대통령의 동생 <박지만:PER> <EG:ORG> 회장(<57:NOH>·사진)이 <21일:DAT> 법정에서의 공개 증언을 통해 “(<박:PER> 대통령의 옛 측근인) <정윤회:PER> 씨가 나를 미행했다는 설과 관련해 측근인 <전모:PER> 씨에게 알아보라고 지시한 적이 있다”고 밝혔다.
박근혜	박근혜	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
동생	동생	NNG	O
_	_	_	O
박지만	박지만	NNP	B-PER
_	_	_	O
EG	EG	SL	B-ORG
_	_	_	O
회장	회장	NNG	O
(	(	SS	O
57	57	SN	B-NOH
·	·	SP	O
사진	사진	NNG	O
)	)	SS	O
이	이	JKS	O
_	_	_	O
21	21	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
법정	법정	NNG	O
에서	에서	JKB	O
의	의	JKG	O
_	_	_	O
공개	공개	NNG	O
_	_	_	O
증언	증언	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
“	“	SS	O
(	(	SS	O
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
옛	옛	MM	O
_	_	_	O
측근	측근	NNG	O
인	이+ㄴ	VCP+ETM	O
)	)	SS	O
_	_	_	O
정윤회	정윤회	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
가	가	JKS	O
_	_	_	O
나	나	NP	O
를	를	JKO	O
_	_	_	O
미행	미행하	VV	O
했	였	EP	O
다는	다는	ETM	O
_	_	_	O
설	설	NNG	O
과	과	JKB	O
_	_	_	O
관련해	관련하+여	VV+EC	O
_	_	_	O
측근	측근	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
전	전	NNP	B-PER
모	모	NP	I-PER
_	_	_	O
씨	씨	NNB	O
에게	에게	JKB	O
_	_	_	O
알아보	알아보	VV	O
라고	라고	EC	O
_	_	_	O
지시한	지시하+ㄴ	VV+ETM	O
_	_	_	O
적	적	NNB	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 이날 백악관은 성명을 통해 “트럼프 대통령이 사우디아라비아와 아랍에미리트(UAE), 한국 정상과 각각 통화할 예정”이라고 발표했다.
## 이날 <백악관:ORG>은 성명을 통해 “<트럼프:PER> 대통령이 <사우디아라비아:ORG>와 <아랍에미리트:ORG>(<UAE:ORG>), <한국:ORG> 정상과 각각 통화할 예정”이라고 발표했다.
이날	이날	NNG	O
_	_	_	O
백악관	백악관	NNP	B-ORG
은	은	JX	O
_	_	_	O
성명	성명	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
“	“	SS	O
트럼프	트럼프	NNG	B-PER
_	_	_	O
대통령	대통령	NNG	O
이	이	JKS	O
_	_	_	O
사우디아라비아	사우디아라비아	NNP	B-ORG
와	와	JC	O
_	_	_	O
아랍	아랍	NNP	B-ORG
에미리트	에미리트	NNP	I-ORG
(	(	SS	O
UAE	UAE	SL	B-ORG
)	)	SS	O
,	,	SP	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	O
정상	정상	NNG	O
과	과	JKB	O
_	_	_	O
각각	각각	MAG	O
_	_	_	O
통화할	통화하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
발표	발표하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## @gallery_in_article_tag@리그오브레전드 롤 인벤, 아찔 코스프레 김갱녀…롤 인벤 여신 서유리 뛰어넘나 리그오브레전드 롤 인벤에는 많은 여신들이 있다.
## <@gallery_in_article_tag:POH><@리그오브레전드 롤 인벤:POH>, 아찔 코스프레 <김갱녀:PER>…<롤 인벤:POH> 여신 <서유리:PER> 뛰어넘나 <리그오브레전드 롤 인벤:POH>에는 많은 여신들이 있다.
@	@	SW	B-POH
gallery	gallery	SL	I-POH
_	_	SW	I-POH
in	in	SL	I-POH
_	_	SW	I-POH
article	article	SL	I-POH
_	_	SW	I-POH
tag	tag	SL	I-POH
@	@	SW	B-POH
리그	리그	NNG	I-POH
오브	오브	NNG	I-POH
레전드	레전드	NNG	I-POH
_	_	_	I-POH
롤	롤	NNG	I-POH
_	_	_	I-POH
인	인	NNG	I-POH
벤	벤	NNP	I-POH
,	,	SP	O
_	_	_	O
아찔	아찔	NNG	O
_	_	_	O
코스	코스	NNG	O
프레	프레	NNG	O
_	_	_	O
김갱	김갱	NNP	B-PER
녀	녀	XSN	I-PER
…	…	SE	O
롤	롤	NNG	B-POH
_	_	_	I-POH
인	인	NNG	I-POH
벤	벤	NNP	I-POH
_	_	_	O
여신	여신	NNG	O
_	_	_	O
서유리	서유리	NNP	B-PER
_	_	_	O
뛰	뛰	VV	O
어	어	EC	O
넘	넘	VV	O
나	나	EC	O
_	_	_	O
리그	리그	NNG	B-POH
오브	오브	NNG	I-POH
레전드	레전드	NNG	I-POH
_	_	_	I-POH
롤	롤	NNG	I-POH
_	_	_	I-POH
인	인	NNG	I-POH
벤	벤	NNP	I-POH
에	에	JKB	O
는	는	JX	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
여신	여신	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 6
## 이를 통해 방송 PD, 아나운서 체험은 물론 3D 애니메이션과 증강현실, 클래식 아카데미 등의 다양한 체험 기회를 제공하고 있다.
## 이를 통해 방송 PD, 아나운서 체험은 물론 <3D:NOH> 애니메이션과 증강현실, 클래식 아카데미 등의 다양한 체험 기회를 제공하고 있다.
이	이	NP	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
방송	방송	NNG	O
_	_	_	O
PD	PD	SL	O
,	,	SP	O
_	_	_	O
아나운서	아나운서	NNG	O
_	_	_	O
체험	체험	NNG	O
은	은	JX	O
_	_	_	O
물론	물론	MAG	O
_	_	_	O
3	3	SN	B-NOH
D	D	SL	I-NOH
_	_	_	O
애니메이션	애니메이션	NNG	O
과	과	JC	O
_	_	_	O
증강	증강	NNG	O
현실	현실	NNG	O
,	,	SP	O
_	_	_	O
클래식	클래식	NNG	O
_	_	_	O
아카데미	아카데미	NNG	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
체험	체험	NNG	O
_	_	_	O
기회	기회	NNG	O
를	를	JKO	O
_	_	_	O
제공하	제공하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 7
## 정부 지원금을 합쳐 모두 23억 원이 어린이집 조성에 투입됐다.
## 정부 지원금을 합쳐 모두 <23억 원:MNY>이 어린이집 조성에 투입됐다.
정부	정부	NNG	O
_	_	_	O
지원금	지원금	NNG	O
을	을	JKO	O
_	_	_	O
합쳐	합치+어	VV+EC	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
23	23	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
이	이	JKS	O
_	_	_	O
어린이집	어린이집	NNG	O
_	_	_	O
조성	조성	NNG	O
에	에	JKB	O
_	_	_	O
투입	투입되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 한 학기 동안 시험 없이 자유롭게 진로를 탐색해본다는 취지는 나쁘지 않았지만 교육 양극화는 심해졌다.
## <한 학기:NOH> 동안 시험 없이 자유롭게 진로를 탐색해본다는 취지는 나쁘지 않았지만 교육 양극화는 심해졌다.
한	한	MM	B-NOH
_	_	_	I-NOH
학기	학기	NNG	I-NOH
_	_	_	O
동안	동안	NNG	O
_	_	_	O
시험	시험	NNG	O
_	_	_	O
없이	없이	MAG	O
_	_	_	O
자유롭	자유롭	VA	O
게	게	EC	O
_	_	_	O
진로	진로	NNG	O
를	를	JKO	O
_	_	_	O
탐색해	탐색하+여	VV+EC	O
본	보	VX	O
다는	다는	ETM	O
_	_	_	O
취지	취지	NNG	O
는	는	JX	O
_	_	_	O
나쁘	나쁘	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
지만	지만	EC	O
_	_	_	O
교육	교육	NNG	O
_	_	_	O
양극화	양극화	NNG	O
는	는	JX	O
_	_	_	O
심해	심하	VA	O
졌	여+지+었	EC+VX+EP	O
다	다	EF	O
.	.	SF	O

