## 1
## 원유철 “朴 탄핵 기각되면 임기 끝까지 채워야”
## <원유철:PER> “<朴:PER> 탄핵 기각되면 임기 끝까지 채워야”
원유철	원유철	NNP	B-PER
_	_	_	O
“	“	SS	O
朴	朴	SH	B-PER
_	_	_	O
탄핵	탄핵	NNG	O
_	_	_	O
기각되	기각되	VV	O
면	면	EC	O
_	_	_	O
임기	임기	NNG	O
_	_	_	O
끝	끝	NNG	O
까지	까지	JX	O
_	_	_	O
채	채우	VV	O
워야	어야	EF	O
”	”	SS	O

## 2
## 이런 지시를 원격으로 내리고 있고. 근데 증인은 최순실도 모르고 그 검찰 정보는 어떻게 샜는지도 모르고.”-우병우 전 민정수석“증거인멸 같은거 저도 다 검사출신인데 그런거 누구든지 간에 시키겠습니까.
## 이런 지시를 원격으로 내리고 있고. 근데 증인은 <최순실:PER>도 모르고 그 검찰 정보는 어떻게 샜는지도 모르고.”-<우병우:PER> 전 민정수석“증거인멸 같은거 저도 다 검사출신인데 그런거 누구든지 간에 시키겠습니까.
이런	이런	MM	O
_	_	_	O
지시	지시	NNG	O
를	를	JKO	O
_	_	_	O
원격	원격	NNG	O
으로	으로	JKB	O
_	_	_	O
내리	내리	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
고	고	EF	O
.	.	SF	O
_	_	_	O
근데	근데	MAJ	O
_	_	_	O
증인	증인	NNG	O
은	은	JX	O
_	_	_	O
최순실	최순실	NNP	B-PER
도	도	JX	O
_	_	_	O
모르	모르	VV	O
고	고	EC	O
_	_	_	O
그	그	MM	O
_	_	_	O
검찰	검찰	NNG	O
_	_	_	O
정보	정보	NNG	O
는	는	JX	O
_	_	_	O
어떻	어떻	VA	O
게	게	EC	O
_	_	_	O
샜	새+었	VV+EP	O
는지	는지	EC	O
도	도	JX	O
_	_	_	O
모르	모르	VV	O
고	고	EF	O
.	.	SF	O
”	”	SS	O
-	-	SO	O
우병우	우병우	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
민정	민정	NNG	O
수석	수석	NNG	O
“	“	SS	O
증거	증거	NNG	O
인멸	인멸	NNG	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
거	것	NNB	O
_	_	_	O
저	저	NP	O
도	도	JX	O
_	_	_	O
다	다	MAG	O
_	_	_	O
검사	검사	NNG	O
출신	출신	NNG	O
인데	이+ㄴ데	VCP+EC	O
_	_	_	O
그런	그런	MM	O
거	것	NNB	O
_	_	_	O
누구	누구	NP	O
든지	든지	JX	O
_	_	_	O
간	간	NNB	O
에	에	JKB	O
_	_	_	O
시키	시키	VV	O
겠	겠	EP	O
습니까	습니까	EF	O
.	.	SF	O

## 3
## 계절창고, 무인택배보관소, 코인세탁실, 자전거보관소 등 소소하지만 배려 깊은 시설은 ‘동탄 헤리움’의 가치를 견고히 하고 있다.
## 계절창고, 무인택배보관소, 코인세탁실, 자전거보관소 등 소소하지만 배려 깊은 시설은 ‘<동탄 헤리움:LOC>’의 가치를 견고히 하고 있다.
계절	계절	NNG	O
창고	창고	NNG	O
,	,	SP	O
_	_	_	O
무인	무인	NNG	O
택배	택배	NNG	O
보관소	보관소	NNG	O
,	,	SP	O
_	_	_	O
코인	코인	NNG	O
세탁실	세탁실	NNG	O
,	,	SP	O
_	_	_	O
자전거	자전거	NNG	O
보관소	보관소	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
소소하	소소하	VA	O
지만	지만	EC	O
_	_	_	O
배려	배려	NNG	O
_	_	_	O
깊	깊	VA	O
은	은	ETM	O
_	_	_	O
시설	시설	NNG	O
은	은	JX	O
_	_	_	O
‘	‘	SS	O
동탄	동탄	NNP	B-LOC
_	_	_	I-LOC
헤리	헤리	NNP	I-LOC
움	움	NNG	I-LOC
’	’	SS	O
의	의	JKG	O
_	_	_	O
가치	가치	NNG	O
를	를	JKO	O
_	_	_	O
견고히	견고히	MAG	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## ‘다산신도시 금강펜테리움 리버테라스Ⅰ’는 강남권 접근성 면에서 다산신도시 내 최고 입지라고 할 수 있다.
## ‘<다산신도시 금강펜테리움 리버테라스Ⅰ:LOC>’는 <강남권:LOC> 접근성 면에서 <다산신도시:LOC> 내 최고 입지라고 할 수 있다.
‘	‘	SS	O
다산	다산	NNP	B-LOC
신도시	신도시	NNG	I-LOC
_	_	_	I-LOC
금강	금강	NNP	I-LOC
펜	펜	NNG	I-LOC
테리	테리	NNP	I-LOC
움	움	NNG	I-LOC
_	_	_	I-LOC
리버	리버	NNG	I-LOC
테라스	테라스	NNG	I-LOC
Ⅰ	Ⅰ	SW	I-LOC
’	’	SS	O
는	는	JX	O
_	_	_	O
강남	강남	NNP	B-LOC
권	권	XSN	I-LOC
_	_	_	O
접근성	접근성	NNG	O
_	_	_	O
면	면	NNG	O
에서	에서	JKB	O
_	_	_	O
다산	다산	NNP	B-LOC
신도시	신도시	NNG	I-LOC
_	_	_	O
내	내	NNB	O
_	_	_	O
최고	최고	NNG	O
_	_	_	O
입지	입지+이	NNG+VCP	O
라고	라고	EC	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 그러면서 “여러 가지 검증 과정에서 보면 정체성이나 위기관리 능력이나 언행, 그분을 싸고 있는 인사들이 우리 국민의당의 정강정책이나 정체성에 멀어져 가고 있다”고 선을 그었다.
## 그러면서 “여러 가지 검증 과정에서 보면 정체성이나 위기관리 능력이나 언행, 그분을 싸고 있는 인사들이 우리 <국민의당:ORG>의 정강정책이나 정체성에 멀어져 가고 있다”고 선을 그었다.
그러	그러	VV	O
면서	면서	EC	O
_	_	_	O
“	“	SS	O
여러	여러	MM	O
_	_	_	O
가지	가지	NNB	O
_	_	_	O
검증	검증	NNG	O
_	_	_	O
과정	과정	NNG	O
에서	에서	JKB	O
_	_	_	O
보	보	VV	O
면	면	EC	O
_	_	_	O
정체성	정체성	NNG	O
이나	이나	JC	O
_	_	_	O
위기관리	위기관리	NNG	O
_	_	_	O
능력	능력	NNG	O
이나	이나	JC	O
_	_	_	O
언행	언행	NNG	O
,	,	SP	O
_	_	_	O
그분	그분	NP	O
을	을	JKO	O
_	_	_	O
싸	싸	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
인사	인사	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
우리	우리	NP	O
_	_	_	O
국민	국민	NNG	B-ORG
의	의	NNG	I-ORG
당	당	NNG	I-ORG
의	의	JKG	O
_	_	_	O
정강	정강	NNG	O
정책	정책	NNG	O
이나	이나	JC	O
_	_	_	O
정체성	정체성	NNG	O
에	에	JKB	O
_	_	_	O
멀어져	멀어지+어	VV+EC	O
_	_	_	O
가	가	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
선	선	NNG	O
을	을	JKO	O
_	_	_	O
그	긋	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 소니는 엑스페리아 Z 라인업에 컴팩트 모델을 출시하고 있는데 대부분의 사양이 플래그십과 동일합니다.
## <소니:ORG>는 <엑스페리아 Z:POH> 라인업에 컴팩트 모델을 출시하고 있는데 대부분의 사양이 플래그십과 동일합니다.
소니	소니	NNP	B-ORG
는	는	JX	O
_	_	_	O
엑스	엑스	NNG	B-POH
페리	페리	NNP	I-POH
아	아	XSN	I-POH
_	_	_	I-POH
Z	Z	SL	I-POH
_	_	_	O
라인업	라인업	NNG	O
에	에	JKB	O
_	_	_	O
컴팩트	컴팩트	NNG	O
_	_	_	O
모델	모델	NNG	O
을	을	JKO	O
_	_	_	O
출시하	출시하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는데	는데	EC	O
_	_	_	O
대부분	대부분	NNG	O
의	의	JKG	O
_	_	_	O
사양	사양	NNG	O
이	이	JKC	O
_	_	_	O
플래그십	플래그십	NNG	O
과	과	JC	O
_	_	_	O
동일합니다	동일하+ㅂ니다	VA+EF	O
.	.	SF	O

## 7
## 애플 아이폰7애플은 2년 주기로 아이폰의 버전을 업그레이드 하고 있습니다.
## <애플:ORG> <아이폰7:POH><애플:ORG>은 <2년:NOH> 주기로 <아이폰:POH>의 버전을 업그레이드 하고 있습니다.
애플	애플	NNP	B-ORG
_	_	_	O
아이폰	아이폰	NNG	B-POH
7	7	SN	I-POH
애플	애플	NNP	B-ORG
은	은	JX	O
_	_	_	O
2	2	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
주	주	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
아이폰	아이폰	NNG	B-POH
의	의	JKG	O
_	_	_	O
버전	버전	NNG	O
을	을	JKO	O
_	_	_	O
업그레이드	업그레이드	NNG	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
습니다	습니다	EF	O
.	.	SF	O

## 8
## 바이러스성 뇌수막염의 경우에는 건강에 큰 이상이 없었다면 10일 정도면 치료되는 것이 보통이다.
## 바이러스성 뇌수막염의 경우에는 건강에 큰 이상이 없었다면 <10일:DAT> 정도면 치료되는 것이 보통이다.
바이러스	바이러스	NNG	O
성	성	XSN	O
_	_	_	O
뇌	뇌	NNG	O
수막염	수막염	NNG	O
의	의	JKG	O
_	_	_	O
경우	경우	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
건강	건강	NNG	O
에	에	JKB	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
이상	이상	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
었	었	EP	O
다면	다면	EC	O
_	_	_	O
10	10	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
정도	정도+이	NNG+VCP	O
면	면	EC	O
_	_	_	O
치료되	치료되	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
보통	보통	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## “중국 대형 슈퍼마켓 유통업체인 쟈쟈위어에 조미 김을 납품하기 시작했습니다.
## “<중국:ORG> 대형 슈퍼마켓 유통업체인 <쟈쟈위어:ORG>에 조미 김을 납품하기 시작했습니다.
“	“	SS	O
중국	중국	NNP	B-ORG
_	_	_	O
대형	대형	NNG	O
_	_	_	O
슈퍼마켓	슈퍼마켓	NNG	O
_	_	_	O
유통	유통	NNG	O
업체	업체	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
쟈	쟈	NNG	B-ORG
쟈	쟈	NNG	I-ORG
위어	위어	NNP	I-ORG
에	에	JKB	O
_	_	_	O
조미	조미	NNG	O
_	_	_	O
김	김	NNG	O
을	을	JKO	O
_	_	_	O
납품하	납품하	VV	O
기	기	ETN	O
_	_	_	O
시작	시작하	VV	O
했	였	EP	O
습니다	습니다	EF	O
.	.	SF	O

## 10
## 공주님을 연상시키는 핑크 컬러는 유치원 이후 졸업했다는 이들도 있지만, 다행히 올 가을·겨울에는 적당히 톤 다운된 인디언 핑크부터 파스텔 핑크, 체리 핑크까지 다양한 스펙트럼으로 도착하니 그냥 지나치지 말 것. 화사한 오피스 룩을 원한다면 No.21의 하늘하늘한 핑크 시폰톱과 팬츠를, 핑크를 포인트로만 연출하고 싶다면 깔끔한 디자인이 돋보이는 프라다의 더블브레스트 코트를 추천한다.
## 공주님을 연상시키는 핑크 컬러는 유치원 이후 졸업했다는 이들도 있지만, 다행히 올 가을·겨울에는 적당히 톤 다운된 인디언 핑크부터 파스텔 핑크, 체리 핑크까지 다양한 스펙트럼으로 도착하니 그냥 지나치지 말 것. 화사한 오피스 룩을 원한다면 <No.21:NOH>의 하늘하늘한 핑크 시폰톱과 팬츠를, 핑크를 포인트로만 연출하고 싶다면 깔끔한 디자인이 돋보이는 프라다의 더블브레스트 코트를 추천한다.
공주	공주	NNG	O
님	님	XSN	O
을	을	JKO	O
_	_	_	O
연상	연상	NNG	O
시키	시키	XSV	O
는	는	ETM	O
_	_	_	O
핑크	핑크	NNG	O
_	_	_	O
컬러	컬러	NNG	O
는	는	JX	O
_	_	_	O
유치원	유치원	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
졸업	졸업하	VV	O
했	였	EP	O
다는	다는	ETM	O
_	_	_	O
이	이	NP	O
들	들	XSN	O
도	도	JX	O
_	_	_	O
있	있	VA	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
다행히	다행히	MAG	O
_	_	_	O
올	올	NNG	O
_	_	_	O
가을	가을	NNG	O
·	·	SP	O
겨울	겨울	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
적당히	적당히	MAG	O
_	_	_	O
톤	톤	NNB	O
_	_	_	O
다운된	다운되+ㄴ	VV+ETM	O
_	_	_	O
인디언	인디언	NNP	O
_	_	_	O
핑크	핑크	NNG	O
부터	부터	JX	O
_	_	_	O
파스텔	파스텔	NNG	O
_	_	_	O
핑크	핑크	NNG	O
,	,	SP	O
_	_	_	O
체리	체리	NNG	O
_	_	_	O
핑크	핑크	NNG	O
까지	까지	JX	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
스펙트럼	스펙트럼	NNG	O
으로	으로	JKB	O
_	_	_	O
도착하	도착하	VV	O
니	니	EC	O
_	_	_	O
그냥	그냥	MAG	O
_	_	_	O
지나치	지나치	VV	O
지	지	EC	O
_	_	_	O
말	말+ㄹ	VX+ETM	O
_	_	_	O
것	것	NNB	O
.	.	SF	O
_	_	_	O
화사한	화사하+ㄴ	VA+ETM	O
_	_	_	O
오피스	오피스	NNG	O
_	_	_	O
룩	룩	NNG	O
을	을	JKO	O
_	_	_	O
원한다면	원하+ㄴ다면	VV+EC	O
_	_	_	O
No	No	SL	B-NOH
.21	.21	SN	I-NOH
의	의	JKG	O
_	_	_	O
하늘하늘한	하늘하늘하+ㄴ	VA+ETM	O
_	_	_	O
핑크	핑크	NNG	O
_	_	_	O
시폰	시폰	NNG	O
톱	톱	NNG	O
과	과	JC	O
_	_	_	O
팬츠	팬츠	NNG	O
를	를	JKO	O
,	,	SP	O
_	_	_	O
핑크	핑크	NNG	O
를	를	JKO	O
_	_	_	O
포인트	포인트	NNG	O
로	로	JKB	O
만	만	JX	O
_	_	_	O
연출하	연출하	VV	O
고	고	EC	O
_	_	_	O
싶	싶	VX	O
다면	다면	EC	O
_	_	_	O
깔끔한	깔끔하+ㄴ	VA+ETM	O
_	_	_	O
디자인	디자인	NNG	O
이	이	JKS	O
_	_	_	O
돋보이	돋보이	VV	O
는	는	ETM	O
_	_	_	O
프라다	프라다	NNP	O
의	의	JKG	O
_	_	_	O
더블브레스트	더블브레스트	NNG	O
_	_	_	O
코트	코트	NNG	O
를	를	JKO	O
_	_	_	O
추천한다	추천하+ㄴ다	VV+EF	O
.	.	SF	O

## 11
## 이정민은 “솔직히 그런 평가가 조금은 부담이 된다”라며 멋쩍어 했다.
## <이정민:PER>은 “솔직히 그런 평가가 조금은 부담이 된다”라며 멋쩍어 했다.
이정민	이정민	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
솔직히	솔직히	MAG	O
_	_	_	O
그런	그런	MM	O
_	_	_	O
평가	평가	NNG	O
가	가	JKS	O
_	_	_	O
조금	조금	NNG	O
은	은	JX	O
_	_	_	O
부담	부담	NNG	O
이	이	JKC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
”	”+이	SS+VCP	O
라며	라며	EC	O
_	_	_	O
멋쩍	멋쩍	VA	O
어	어	EC	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

