## 1
## 업계에서는 안전성을 높이기 위해 두 가지 이상의 바이오인식 기술을 통합시키는 다중 바이오인식 기술을 개발하려는 움직임도 포착된다.
## 업계에서는 안전성을 높이기 위해 <두 가지:NOH> 이상의 바이오인식 기술을 통합시키는 다중 바이오인식 기술을 개발하려는 움직임도 포착된다.
업계	업계	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
안전성	안전성	NNG	O
을	을	JKO	O
_	_	_	O
높이	높이	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
가지	가지	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
의	의	JKG	O
_	_	_	O
바이오	바이오	NNG	O
인식	인식	NNG	O
_	_	_	O
기술	기술	NNG	O
을	을	JKO	O
_	_	_	O
통합	통합	NNG	O
시키	시키	XSV	O
는	는	ETM	O
_	_	_	O
다중	다중	NNG	O
_	_	_	O
바이오	바이오	NNG	O
인식	인식	NNG	O
_	_	_	O
기술	기술	NNG	O
을	을	JKO	O
_	_	_	O
개발하	개발하	VV	O
려는	려는	ETM	O
_	_	_	O
움직임	움직임	NNG	O
도	도	JX	O
_	_	_	O
포착된다	포착되+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 산업용 로봇 제조사인 일본의 화낙, 수술용 로봇 전문회사 미국 인튜이티브 서지컬 등 세계 산업, 의료, 소비자 로봇 관련 기술을 가진 회사에 투자한다.
## 산업용 로봇 제조사인 <일본:LOC>의 <화낙:ORG>, 수술용 로봇 전문회사 <미국 인튜이티브 서지컬:ORG> 등 세계 산업, 의료, 소비자 로봇 관련 기술을 가진 회사에 투자한다.
산업용	산업용	NNG	O
_	_	_	O
로봇	로봇	NNG	O
_	_	_	O
제조	제조	NNG	O
사인	사인	NNG	O
_	_	_	O
일본	일본	NNP	B-LOC
의	의	JKG	O
_	_	_	O
화	화	NNG	B-ORG
낙	낙	NNG	I-ORG
,	,	SP	O
_	_	_	O
수술	수술	NNG	O
용	용	XSN	O
_	_	_	O
로봇	로봇	NNG	O
_	_	_	O
전문	전문	NNG	O
회사	회사	NNG	O
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	I-ORG
인튜이티브	인튜이티브	NNG	I-ORG
_	_	_	I-ORG
서지컬	서지컬	NNP	I-ORG
_	_	_	O
등	등	NNB	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
