## 1
## 유 이병도 지난달 특전사에 배치되면서 가족 동반 강하 훈련에 참가하기로 결정했다.
## <유:PER> 이병도 지난달 특전사에 배치되면서 가족 동반 강하 훈련에 참가하기로 결정했다.
유	유	NNP	B-PER
_	_	_	O
이병도	이병도	NNP	O
_	_	_	O
지난달	지난달	NNG	O
_	_	_	O
특전	특전	NNG	O
사	사	NNG	O
에	에	JKB	O
_	_	_	O
배치되	배치되	VV	O
면서	면서	EC	O
_	_	_	O
가족	가족	NNG	O
_	_	_	O
동반	동반	NNG	O
_	_	_	O
강하	강하	NNG	O
_	_	_	O
훈련	훈련	NNG	O
에	에	JKB	O
_	_	_	O
참가하	참가하	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
결정	결정하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 오즈세컨이 추천하는 클리퍼 슈즈는 위트 있는 앞코의 지그재그 디테일과 스터드 장식이 특징으로, 여기에 5cm 높이의 샤크솔은 디자인을 더욱 트렌디하게 표현하면서도 마찰력이 강해 미끄럼 방지 효과까지 뛰어나다.
## <오즈세컨:ORG>이 추천하는 클리퍼 슈즈는 위트 있는 앞코의 지그재그 디테일과 스터드 장식이 특징으로, 여기에 <5cm:NOH> 높이의 샤크솔은 디자인을 더욱 트렌디하게 표현하면서도 마찰력이 강해 미끄럼 방지 효과까지 뛰어나다.
오즈	오즈	NNP	B-ORG
세컨	세컨	NNG	I-ORG
이	이	JKS	O
_	_	_	O
추천하	추천하	VV	O
는	는	ETM	O
_	_	_	O
클리퍼	클리퍼	NNG	O
_	_	_	O
슈즈	슈즈	NNG	O
는	는	JX	O
_	_	_	O
위트	위트	NNG	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
앞코	앞코	NNG	O
의	의	JKG	O
_	_	_	O
지그재그	지그재그	NNG	O
_	_	_	O
디테일	디테일	NNG	O
과	과	JC	O
_	_	_	O
스터드	스터드	NNG	O
_	_	_	O
장식	장식	NNG	O
이	이	JKS	O
_	_	_	O
특징	특징	NNG	O
으로	으로	JKB	O
,	,	SP	O
_	_	_	O
여기	여기	NP	O
에	에	JKB	O
_	_	_	O
5	5	SN	B-NOH
cm	cm	SL	I-NOH
_	_	_	O
높이	높이	NNG	O
의	의	JKG	O
_	_	_	O
샤크	샤크	NNP	O
솔	솔	NNG	O
은	은	JX	O
_	_	_	O
디자인	디자인	NNG	O
을	을	JKO	O
_	_	_	O
더욱	더욱	MAG	O
_	_	_	O
