## 1
## 서민갑부 (17일 오후 9시 50분)
## 서민갑부 (<17일:DAT> <오후 9시 50분:TIM>)
서민	서민	NNG	O
갑부	갑부	NNG	O
_	_	_	O
(	(	SS	O
17	17	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	I-TIM
9	9	SN	I-TIM
시	시	NNB	I-TIM
_	_	_	I-TIM
50	50	SN	I-TIM
분	분	NNB	I-TIM
)	)	SS	O

## 2
## 경찰 관계자는 “피의자는 위조 통장 등으로 수조원대 재산이 있는 것처럼 과시하고 다녔지만, 실제로는 보증금 1000만원에 월세를 내며 생활했다”며 “실체가 없는 수표나 채권 등으로 재력을 과시하는 사람은 믿어서는 안된다”고 당부했다.
## 경찰 관계자는 “피의자는 위조 통장 등으로 <수조원:MNY>대 재산이 있는 것처럼 과시하고 다녔지만, 실제로는 보증금 <1000만원:MNY>에 월세를 내며 생활했다”며 “실체가 없는 수표나 채권 등으로 재력을 과시하는 사람은 믿어서는 안된다”고 당부했다.
경찰	경찰	NNG	O
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
피의자	피의자	NNG	O
는	는	JX	O
_	_	_	O
위조	위조	NNG	O
_	_	_	O
통장	통장	NNG	O
_	_	_	O
등	등	NNB	O
으로	으로	JKB	O
_	_	_	O
수조	수조	NR	B-MNY
원	원	NNB	I-MNY
대	대	XSN	O
_	_	_	O
재산	재산	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
처럼	처럼	JKB	O
_	_	_	O
과시하	과시하	VV	O
고	고	EC	O
_	_	_	O
다	다니	VV	O
녔	었	EP	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
실제로	실제로	MAG	O
는	는	JX	O
_	_	_	O
보증금	보증금	NNG	O
_	_	_	O
1000	1000	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
에	에	JKB	O
_	_	_	O
월세	월세	NNG	O
를	를	JKO	O
_	_	_	O
내	내	VV	O
며	며	EC	O
_	_	_	O
생활	생활하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
실체	실체	NNG	O
가	가	JKS	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
수표	수표	NNG	O
나	나	JC	O
_	_	_	O
채권	채권	NNG	O
_	_	_	O
등	등	NNB	O
으로	으로	JKB	O
_	_	_	O
재력	재력	NNG	O
을	을	JKO	O
_	_	_	O
과시하	과시하	VV	O
는	는	ETM	O
_	_	_	O
사람	사람	NNG	O
은	은	JX	O
_	_	_	O
믿	믿	VV	O
어서	어서	EC	O
는	는	JX	O
_	_	_	O
안된다	안되+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
당부	당부하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이후 1년 만에 아들을 출산해 세 아이의 엄마가 됐다.
## 이후 <1년 만:DUR>에 아들을 출산해 <세:NOH> 아이의 엄마가 됐다.
이후	이후	NNG	O
_	_	_	O
1	1	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	I-DUR
만	만	NNB	I-DUR
에	에	JKB	O
_	_	_	O
아들	아들	NNG	O
을	을	JKO	O
_	_	_	O
출산해	출산하+여	VV+EC	O
_	_	_	O
세	세	MM	B-NOH
_	_	_	O
아이	아이	NNG	O
의	의	JKG	O
_	_	_	O
엄마	엄마	NNG	O
가	가	JKC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 이요원은 현재 서울 강남구 삼성동에 위치한 산후조리원에서 몸조리 중인 것으로 전해졌다.
## <이요원:PER>은 현재 <서울:LOC> <강남구:LOC> <삼성동:LOC>에 위치한 산후조리원에서 몸조리 중인 것으로 전해졌다.
이요원	이요원	NNP	B-PER
은	은	JX	O
_	_	_	O
현재	현재	MAG	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
강남구	강남구	NNP	B-LOC
_	_	_	O
삼성동	삼성동	NNP	B-LOC
에	에	JKB	O
_	_	_	O
위치한	위치하+ㄴ	VV+ETM	O
_	_	_	O
산후	산후	NNG	O
조리	조리	NNG	O
원	원	XSN	O
에서	에서	JKB	O
_	_	_	O
몸조리	몸조리	NNG	O
_	_	_	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
전해	전하	VV	O
졌	여+지+었	EC+VX+EP	O
다	다	EF	O
.	.	SF	O

## 5
## 한편 이요원은 지난 2003년 골프선수 박진우와 웨딩마치를 울렸다.
## 한편 <이요원:PER>은 지난 <2003년:DAT> 골프선수 <박진우:PER>와 웨딩마치를 울렸다.
한편	한편	MAG	O
_	_	_	O
이요원	이요원	NNP	B-PER
은	은	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
2003	2003	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
골프	골프	NNG	O
선수	선수	NNG	O
_	_	_	O
박진우	박진우	NNP	B-PER
와	와	JC	O
_	_	_	O
웨딩	웨딩	NNG	O
마치	마치	NNG	O
를	를	JKO	O
_	_	_	O
울	울리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 소고기 등심 등 육류를 포장할 때 용기 내부 공기를 제거한 뒤 산소 80% 이산화탄소 20%로 채웠다.
## 소고기 등심 등 육류를 포장할 때 용기 내부 공기를 제거한 뒤 산소 <80%:PNT> 이산화탄소 <20%:PNT>로 채웠다.
소고기	소고기	NNG	O
_	_	_	O
등심	등심	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
육류	육류	NNG	O
를	를	JKO	O
_	_	_	O
포장할	포장하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
용기	용기	NNG	O
_	_	_	O
내부	내부	NNG	O
_	_	_	O
공기	공기	NNG	O
를	를	JKO	O
_	_	_	O
제거한	제거하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
산소	산소	NNG	O
_	_	_	O
80	80	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
이산화탄소	이산화탄소	NNG	O
_	_	_	O
20	20	SN	B-PNT
%	%	SW	I-PNT
로	로	JKB	O
_	_	_	O
채	채우	VV	O
웠	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 현대백화점 측은 “일반 랩을 씌우면 하루나 이틀 정도만 유지되던 고기의 신선도를 일주일까지 늘릴 수 있다”고 설명했다.
## <현대백화점:ORG> 측은 “일반 랩을 씌우면 하루나 <이틀:DUR> 정도만 유지되던 고기의 신선도를 <일주일:DUR>까지 늘릴 수 있다”고 설명했다.
현대백화점	현대백화점	NNP	B-ORG
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
“	“	SS	O
일반	일반	NNG	O
_	_	_	O
랩	랩	NNG	O
을	을	JKO	O
_	_	_	O
씌우	씌우	VV	O
면	면	EC	O
_	_	_	O
하루	하루	NNG	O
나	나	JC	O
_	_	_	O
이틀	이틀	NNG	B-DUR
_	_	_	O
정도	정도	NNG	O
만	만	JX	O
_	_	_	O
유지되	유지되	VV	O
던	던	ETM	O
_	_	_	O
고기	고기	NNG	O
의	의	JKG	O
_	_	_	O
신선도	신선도	NNG	O
를	를	JKO	O
_	_	_	O
일주일	일주일	NNG	B-DUR
까지	까지	JX	O
_	_	_	O
늘릴	늘리+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 현재 드비어사는 러시아­앙골라등지의 다이아몬드 독자생산으로 독점적인 카르텔운영이 위협을 받고있는 상태.
## 현재 <드비어사:ORG>는 <러시아:LOC>­<앙골라:LOC>등지의 다이아몬드 독자생산으로 독점적인 카르텔운영이 위협을 받고있는 상태.
현재	현재	MAG	O
_	_	_	O
드비	드비	VV	B-ORG
어	어	EC	I-ORG
사	살	VV	I-ORG
는	는	ETM	O
_	_	_	O
러시아	러시아	NNP	B-LOC
­	­	SS	O
앙골라	앙골라	NNP	B-LOC
등지	등지	NNB	O
의	의	JKG	O
_	_	_	O
다이아몬드	다이아몬드	NNG	O
_	_	_	O
독자	독자	NNG	O
생산	생산	NNG	O
으로	으로	JKB	O
_	_	_	O
독점적	독점적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
카르텔	카르텔	NNG	O
운영	운영	NNG	O
이	이	JKS	O
_	_	_	O
위협	위협	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
고	고	EC	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
상태	상태	NNG	O
.	.	SF	O

## 9
## 결국 정부는 정책 시행을 올해 말까지 3년 연기했다.
## 결국 정부는 정책 시행을 올해 말까지 <3년:PNT> 연기했다.
결국	결국	NNG	O
_	_	_	O
정부	정부	NNG	O
는	는	JX	O
_	_	_	O
정책	정책	NNG	O
_	_	_	O
시행	시행	NNG	O
을	을	JKO	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
말	말	NNB	O
까지	까지	JX	O
_	_	_	O
3	3	SN	B-PNT
년	년	NNB	I-PNT
_	_	_	O
연기	연기하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

