## 1
## 그런데 현재 미국 코닝사, 독일 2개사와 관련된 상호합의는 당사국들간에 절차개시에 일단 합의하고 서면절차가 진행중이다.
## 그런데 현재 <미국 코닝사:ORG>, <독일:LOC> <2개:NOH>사와 관련된 상호합의는 당사국들간에 절차개시에 일단 합의하고 서면절차가 진행중이다.
그런데	그런데	MAJ	O
_	_	_	O
현재	현재	MAG	O
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	I-ORG
코닝사	코닝사	NNP	I-ORG
,	,	SP	O
_	_	_	O
독일	독일	NNP	B-LOC
_	_	_	O
2	2	SN	B-NOH
개	개	NNB	I-NOH
사	사	NNG	O
와	와	JKB	O
_	_	_	O
관련된	관련되+ㄴ	VV+ETM	O
_	_	_	O
상호	상호	NNG	O
합의	합의	NNG	O
는	는	JX	O
_	_	_	O
당사국	당사국	NNG	O
들	들	XSN	O
간	간	NNB	O
에	에	JKB	O
_	_	_	O
절차	절차	NNG	O
개시	개시	NNG	O
에	에	JKB	O
_	_	_	O
일단	일단	MAG	O
_	_	_	O
합의하	합의하	VV	O
고	고	EC	O
_	_	_	O
서면	서면	NNG	O
절차	절차	NNG	O
가	가	JKS	O
_	_	_	O
진행	진행	NNG	O
중	중	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## GS-전남도-전남혁신센터 “K푸드-K투어 우수상품 육성”
## <GS:ORG>-<전남도:ORG>-<전남혁신센터:ORG> “<K푸드-K투어:POH> 우수상품 육성”
GS	GS	SL	B-ORG
-	-	SO	O
전남	전남	NNP	B-ORG
도	도	NNG	I-ORG
-	-	SO	O
전남	전남	NNP	B-ORG
혁신	혁신	NNG	I-ORG
센터	센터	NNG	I-ORG
_	_	_	O
“	“	SS	O
K	K	SL	B-POH
푸드	푸드	NNG	I-POH
-	-	SO	I-POH
K	K	SL	I-POH
투어	투어	NNG	I-POH
_	_	_	O
우수	우수	NNG	O
상품	상품	NNG	O
_	_	_	O
육성	육성	NNG	O
”	”	SS	O

## 3
## 배우 김민재와 최유라가 1년 7개월 열애 끝에 10월 결혼한다.
## 배우 <김민재:PER>와 <최유라:PER>가 <1년 7개월:DUR> 열애 끝에 <10월:DAT> 결혼한다.
배우	배우	NNG	O
_	_	_	O
김민재	김민재	NNP	B-PER
와	와	JC	O
_	_	_	O
최유라	최유라	NNP	B-PER
가	가	JKS	O
_	_	_	O
1	1	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	I-DUR
7	7	SN	I-DUR
개월	개월	NNB	I-DUR
_	_	_	O
열애	열애	NNG	O
_	_	_	O
끝	끝	NNG	O
에	에	JKB	O
_	_	_	O
10	10	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
결혼한다	결혼하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 마녀사냥 송해나, 반려견 때문에 남자친구와 관계를 못해…솔직 고백JTBC ‘마녀사냥’에 모델 송해나가 출연해 반려견에 관한 19금 에피소드를 고백했다.
## <마녀사냥:POH> <송해나:PER>, 반려견 때문에 남자친구와 관계를 못해…솔직 <고백JTBC:ORG> ‘<마녀사냥:POH>’에 모델 <송해나:PER>가 출연해 반려견에 관한 <19금:NOH> 에피소드를 고백했다.
마녀	마녀	NNG	B-POH
사냥	사냥	NNG	I-POH
_	_	_	O
송해	송해	NNP	B-PER
나	나	JC	I-PER
,	,	SP	O
_	_	_	O
반려	반려	NNG	O
견	견	NNG	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
남자	남자	NNG	O
친구	친구	NNG	O
와	와	JKB	O
_	_	_	O
관계	관계	NNG	O
를	를	JKO	O
_	_	_	O
못해	못하+여	VV+EC	O
…	…	SE	O
솔직	솔직	NNG	O
_	_	_	O
고백	고백	NNG	B-ORG
JTBC	JTBC	SL	I-ORG
_	_	_	O
‘	‘	SS	O
마녀	마녀	NNG	B-POH
사냥	사냥	NNG	I-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
모델	모델	NNG	O
_	_	_	O
송해	송하+여	VV+EC	B-PER
나가	나가+아	VX+EC	O
_	_	_	O
출연해	출연하+여	VV+EC	O
_	_	_	O
반려	반려	NNG	O
견	견	NNG	O
에	에	JKB	O
_	_	_	O
관한	관하+ㄴ	VV+ETM	O
_	_	_	O
19	19	SN	B-NOH
금	금	NNG	I-NOH
_	_	_	O
에피소드	에피소드	NNG	O
를	를	JKO	O
_	_	_	O
고백	고백하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 지난 11일 방송한 ‘마녀사냥’에는 모델 송해나와 배정남이 초대손님으로 출연했다.
## 지난 <11일:DAT> 방송한 ‘<마녀사냥:POH>’에는 모델 <송해나:PER>와 <배정남:PER>이 초대손님으로 출연했다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
11	11	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
방송한	방송하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
마녀	마녀	NNG	B-POH
사냥	사냥	NNG	I-POH
’	’	SS	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
모델	모델	NNG	O
_	_	_	O
송해	송해	NNP	B-PER
나	나오	VV	I-PER
와	아	EC	O
_	_	_	O
배정남	배정남	NNP	B-PER
이	이	JKS	O
_	_	_	O
초대	초대	NNG	O
손님	손님	NNG	O
으로	으로	JKB	O
_	_	_	O
출연	출연하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 송해나는 “나도 검정색 푸들을 키운다.
## <송해나:PER>는 “나도 검정색 푸들을 키운다.
송해	송해	NNP	B-PER
나	나	NP	I-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
나	나	NP	O
도	도	JX	O
_	_	_	O
검정	검정	NNG	O
색	색	NNG	O
_	_	_	O
푸들	푸들	NNG	O
을	을	JKO	O
_	_	_	O
키운다	키우+ㄴ다	VV+EF	O
.	.	SF	O

## 7
## 허일욱 목천읍장이 차를 내놓으며 “복지재단이나 사회복지공동모금회에 돈을 보내면 어떻겠느냐”고 제안하자 노인은 “안 된다.
## <허일욱:PER> 목천읍장이 차를 내놓으며 “복지재단이나 사회복지공동모금회에 돈을 보내면 어떻겠느냐”고 제안하자 노인은 “안 된다.
허일욱	허일욱	NNP	B-PER
_	_	_	O
목천읍	목천읍	NNP	O
장	장	XSN	O
이	이	JKS	O
_	_	_	O
차	차	NNG	O
를	를	JKO	O
_	_	_	O
내놓	내놓	VV	O
으며	으며	EC	O
_	_	_	O
“	“	SS	O
복지	복지	NNG	O
재단	재단	NNG	O
이나	이나	JC	O
_	_	_	O
사회	사회	NNG	O
복지	복지	NNG	O
공동	공동	NNG	O
모금	모금	NNG	O
회	회	XSN	O
에	에	JKB	O
_	_	_	O
돈	돈	NNG	O
을	을	JKO	O
_	_	_	O
보내	보내	VV	O
면	면	EC	O
_	_	_	O
어떻	어떻	VA	O
겠	겠	EP	O
느냐	느냐	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
제안하	제안하	VV	O
자	자	EC	O
_	_	_	O
노인	노인	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
안	안	MAG	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
.	.	SF	O

## 8
## 세계적인 재즈 기타리스트인 지로 요시다씨와의 협연이 어떤 결과를 만들어낼지 나도 궁금하다.
## 세계적인 재즈 기타리스트인 <지로 요시다:PER>씨와의 협연이 어떤 결과를 만들어낼지 나도 궁금하다.
세계적	세계적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
재즈	재즈	NNG	O
_	_	_	O
기타리스트	기타리스트	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
지로	지로	NNG	B-PER
_	_	_	I-PER
요시다	요시다	NNP	I-PER
씨	씨	NNB	O
와	와	JKB	O
의	의	JKG	O
_	_	_	O
협연	협연	NNG	O
이	이	JKS	O
_	_	_	O
어떤	어떤	MM	O
_	_	_	O
결과	결과	NNG	O
를	를	JKO	O
_	_	_	O
만들	만들	VV	O
어	어	EC	O
낼지	내+ㄹ지	VX+EC	O
_	_	_	O
나	나	NP	O
도	도	JX	O
_	_	_	O
궁금하	궁금하	VA	O
다	다	EF	O
.	.	SF	O

## 9
## LH는 입주자 선정, 임대료 수납, 공실관리 업무 등을 맡고 미리 확정된 임대 수익을 매달 집주인에게 지급한다.
## <LH:ORG>는 입주자 선정, 임대료 수납, 공실관리 업무 등을 맡고 미리 확정된 임대 수익을 매달 집주인에게 지급한다.
LH	LH	SL	B-ORG
는	는	JX	O
_	_	_	O
입주자	입주자	NNG	O
_	_	_	O
선정	선정	NNG	O
,	,	SP	O
_	_	_	O
임대료	임대료	NNG	O
_	_	_	O
수납	수납	NNG	O
,	,	SP	O
_	_	_	O
공실	공실	NNG	O
관리	관리	NNG	O
_	_	_	O
업무	업무	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
맡	맡	VV	O
고	고	EC	O
_	_	_	O
미리	미리	MAG	O
_	_	_	O
확정된	확정되+ㄴ	VV+ETM	O
_	_	_	O
임대	임대	NNG	O
_	_	_	O
수익	수익	NNG	O
을	을	JKO	O
_	_	_	O
매달	매달	MAG	O
_	_	_	O
집주인	집주인	NNG	O
에게	에게	JKB	O
_	_	_	O
지급한다	지급하+ㄴ다	VV+EF	O
.	.	SF	O

## 10
## 제가 봐도 피부의 톤과 생기가 달라졌어요.(이아희 : 모델 2015 서울 국제 모터쇼 포르쉐 포즈 모델, 2014 ksm 코리아 카 모델쇼 2위 입상, 2014 드라이피니시 하계시즌 광고 촬영, 2013 F1 코리아 그랑프리모델 등) 피부 속부터 피어나는 피부변화, 블루밍셀 아기 피부처럼 맑고 탄력 있는 피부를 선사한다고 해서 ‘업그레이드된 아기주사’로도 불리는 ‘블루밍셀’은 설레임의원(강남 피부과)이 개발해 특허출원까지 마친 시술법이다.
## 제가 봐도 피부의 톤과 생기가 달라졌어요.(<이아희:PER> : 모델 <2015:DAT> <서울 국제 모터쇼:POH> <포르쉐:ORG> 포즈 모델, <2014:DAT> <ksm 코리아 카 모델쇼:POH> <2위:NOH> 입상, <2014:DAT> <드라이피니시 하계시즌:POH> 광고 촬영, <2013:DAT> <F1 코리아 그랑프리모델:POH> 등) 피부 속부터 피어나는 피부변화, <블루밍셀:POH> 아기 피부처럼 맑고 탄력 있는 피부를 선사한다고 해서 ‘<업그레이드된 아기주사:POH>’로도 불리는 ‘<블루밍셀:POH>’은 <설레임의원:ORG>(<강남 피부과:ORG>)이 개발해 특허출원까지 마친 시술법이다.
제	제	NP	O
가	가	JKS	O
_	_	_	O
봐도	보+아도	VV+EC	O
_	_	_	O
피부	피부	NNG	O
