## 1
## 지구 곳곳 “어글리 코리언”/공보처 해외사례 모아 발표
## <지구:LOC> 곳곳 “어글리 코리언”/공보처 해외사례 모아 발표
지구	지구	NNG	B-LOC
_	_	_	O
곳곳	곳곳	NNG	O
_	_	_	O
“	“	SS	O
어글리	어글리	NNG	O
_	_	_	O
코리언	코리언	NNG	O
”	”	SS	O
/	/	SP	O
공보	공보	NNG	O
처	처	XSN	O
_	_	_	O
해외	해외	NNG	O
사례	사례	NNG	O
_	_	_	O
모	모으	VV	O
아	아	EC	O
_	_	_	O
발표	발표	NNG	O

## 2
## 언론과 각종 자료를 통해 중국과 대만 관계를 뜻하는‘양안 관계’(兩岸關係)에 대해 알아봤다.
## 언론과 각종 자료를 통해 <중국:ORG>과 <대만:ORG> 관계를 뜻하는‘양안 관계’(兩岸關係)에 대해 알아봤다.
언론	언론	NNG	O
과	과	JC	O
_	_	_	O
각종	각종	NNG	O
_	_	_	O
자료	자료	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
중국	중국	NNP	B-ORG
과	과	JC	O
_	_	_	O
대만	대만	NNP	B-ORG
_	_	_	O
관계	관계	NNG	O
를	를	JKO	O
_	_	_	O
뜻하	뜻하	VV	O
는	는	ETM	O
‘	‘	SS	O
양안	양안	NNG	O
_	_	_	O
관계	관계	NNG	O
’	’	SS	O
(	(	SS	O
兩岸關係	兩岸關係	SH	O
)	)	SS	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
알아	알아보	VV	O
봤	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 쟁점과 토론 지금의 중국(중화인민공화국)과 대만(중화민국)은 하나이면서도 둘이다.
## 쟁점과 토론 지금의 <중국:ORG>(<중화인민공화국:ORG>)과 <대만:ORG>(<중화민국:ORG>)은 <하나:NOH>이면서도 둘이다.
쟁점	쟁점	NNG	O
과	과	JKB	O
_	_	_	O
토론	토론	NNG	O
_	_	_	O
지금	지금	NNG	O
의	의	JKG	O
_	_	_	O
중국	중국	NNP	B-ORG
(	(	SS	O
중화	중화	NNG	B-ORG
인민공화국	인민공화국	NNG	I-ORG
)	)	SS	O
