## 1
## 더블케이에게 음악도 들려주고. 그렇게 여기까지 왔다”고 힘들었던 과거를 회상했다.
## <더블케이:PER>에게 음악도 들려주고. 그렇게 여기까지 왔다”고 힘들었던 과거를 회상했다.
더블	더블	NNG	B-PER
케이	케이	NNG	I-PER
에게	에게	JKB	O
_	_	_	O
음악	음악	NNG	O
도	도	JX	O
_	_	_	O
들려주	들려주	VV	O
고	고	EF	O
.	.	SF	O
_	_	_	O
그렇	그렇	VA	O
게	게	EC	O
_	_	_	O
여기	여기	NP	O
까지	까지	JX	O
_	_	_	O
왔	+았	+EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
힘들	힘들	VA	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
과거	과거	NNG	O
를	를	JKO	O
_	_	_	O
회상	회상하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## ‘도끼’ 소식에 누리꾼들은 “4가지쇼 도끼, 성공한거 축하한다”,
## ‘<도끼:PER>’ 소식에 누리꾼들은 “<4가지쇼:POH> <도끼:PER>, 성공한거 축하한다”,
‘	‘	SS	O
도끼	도끼	NNG	B-PER
’	’	SS	O
_	_	_	O
소식	소식	NNG	O
에	에	JKB	O
_	_	_	O
누리	누리	NNG	O
꾼	꾼	XSN	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
4	4	SN	B-POH
가지	가지	VV	I-POH
쇼	쇼	EC	I-POH
_	_	_	O
도끼	도끼	NNG	B-PER
,	,	SP	O
_	_	_	O
성공한	성공하+ㄴ	VV+ETM	O
거	거	NNB	O
_	_	_	O
축하한다	축하하+ㄴ다	VV+EF	O
”	”	SS	O
,	,	SP	O

## 3
## 멜서더스조차 그녀를 『오직 돈과 섹스, 음식과 잠자는 것에만 관심을 보인다』고 빈정거렸다.
## <멜서더스:PER>조차 그녀를 『오직 돈과 섹스, 음식과 잠자는 것에만 관심을 보인다』고 빈정거렸다.
멜	멜	NNP	B-PER
서	서	JKB	I-PER
더스	더스	NNP	I-PER
조차	조차	JX	O
_	_	_	O
그녀	그녀	NP	O
를	를	JKO	O
_	_	_	O
『	『	SS	O
오직	오직	MAG	O
_	_	_	O
돈	돈	NNG	O
과	과	JC	O
_	_	_	O
섹스	섹스	NNG	O
,	,	SP	O
_	_	_	O
음식	음식	NNG	O
과	과	JC	O
_	_	_	O
잠자	잠자	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
에	에	JKB	O
만	만	JX	O
_	_	_	O
관심	관심	NNG	O
을	을	JKO	O
_	_	_	O
보인다	보이+ㄴ다	VV+EF	O
』	』	SS	O
고	고	JKQ	O
_	_	_	O
빈정거	빈정거리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 지난 2012년 5월 개관한 예울마루는 1021석의 대극장, 302석의 소극장, 기획 전시장, 해안산책로 등을 갖추고 있다.
## 지난 <2012년 5월:DAT> 개관한 예울마루는 <1021석:NOH>의 대극장, <302석:NOH>의 소극장, 기획 전시장, 해안산책로 등을 갖추고 있다.
