## 1
## 말레이시아 경찰도 공항 CCTV에 찍힌 여성들을 용의자로 보고 쫓고 있다.
## <말레이시아:LOC> 경찰도 공항 CCTV에 찍힌 여성들을 용의자로 보고 쫓고 있다.
말레이시아	말레이시아	NNP	B-LOC
_	_	_	O
경찰	경찰	NNG	O
도	도	JX	O
_	_	_	O
공항	공항	NNG	O
_	_	_	O
CCTV	CCTV	SL	O
에	에	JKB	O
_	_	_	O
찍힌	찍히+ㄴ	VV+ETM	O
_	_	_	O
여성	여성	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
용의자	용의자	NNG	O
로	로	JKB	O
_	_	_	O
보	보	VV	O
고	고	EC	O
_	_	_	O
쫓	쫓	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 출루율과 장타율을 더한 OPS는 특급타자의 영역인 1.000을 넘어선 1.059다.
## 출루율과 장타율을 더한 <OPS:POH>는 특급타자의 영역인 <1.000:NOH>을 넘어선 <1.059:NOH>다.
출루	출루	NNG	O
율	율	XSN	O
과	과	JC	O
_	_	_	O
장타율	장타율	NNG	O
을	을	JKO	O
_	_	_	O
더한	더하+ㄴ	VV+ETM	O
_	_	_	O
OPS	OPS	SL	B-POH
는	는	JX	O
_	_	_	O
특급	특급	NNG	O
타자	타자	NNG	O
의	의	JKG	O
_	_	_	O
영역	영역	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
1.000	1.000	SN	B-NOH
을	을	JKO	O
_	_	_	O
넘어선	넘어서+ㄴ	VV+ETM	O
_	_	_	O
1.059	1.059	SN	B-NOH
다	다	EF	O
.	.	SF	O

## 3
## 6월 한 경기에서 3개의 실책을 범하며 수비 불안을 노출한 적이 있지만, 갈수록 안정적인 모습을 보여주고 있다.
## <6월:DAT> <한 경기:NOH>에서 <3개:NOH>의 실책을 범하며 수비 불안을 노출한 적이 있지만, 갈수록 안정적인 모습을 보여주고 있다.
6	6	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
경기	경기	NNG	I-NOH
에서	에서	JKB	O
_	_	_	O
3	3	SN	B-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
실책	실책	NNG	O
을	을	JKO	O
_	_	_	O
범하	범하	VV	O
며	며	EC	O
_	_	_	O
수비	수비	NNG	O
_	_	_	O
불안	불안	NNG	O
을	을	JKO	O
_	_	_	O
노출한	노출하+ㄴ	VV+ETM	O
_	_	_	O
적	적	NNB	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
갈수록	가+ㄹ수록	VV+EC	O
_	_	_	O
안정적	안정적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
모습	모습	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
주	주	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 세션스 장관은 이날 기자회견에서 "현존하는, 그리고 향후 진행될 트럼프 대통령의 대선 캠페인 관련 수사에서 자진 기피하기로 결정했다"며 이같이 밝혔다.
## <세션스:PER> 장관은 이날 기자회견에서 "현존하는, 그리고 향후 진행될 <트럼프:PER> 대통령의 대선 캠페인 관련 수사에서 자진 기피하기로 결정했다"며 이같이 밝혔다.
세션스	세션스	NNP	B-PER
_	_	_	O
장관	장관	NNG	O
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
기자	기자	NNG	O
회견	회견	NNG	O
에서	에서	JKB	O
_	_	_	O
"	"	SS	O
현존하	현존하	VV	O
는	는	ETM	O
,	,	SP	O
_	_	_	O
그리고	그리고	MAJ	O
_	_	_	O
향후	향후	NNG	O
_	_	_	O
진행될	진행되+ㄹ	VV+ETM	O
_	_	_	O
트럼프	트럼프	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
대선	대선	NNG	O
_	_	_	O
캠페인	캠페인	NNG	O
_	_	_	O
관련	관련	NNG	O
_	_	_	O
수사	수사	NNG	O
에서	에서	JKB	O
_	_	_	O
자진	자진	NNG	O
_	_	_	O
기피하	기피하	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
결정	결정하	VV	O
했	였	EP	O
다	다	EF	O
"	"	SS	O
며	며	EC	O
_	_	_	O
이같이	이같이	MAG	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## [경제 브리핑] 한국지엠 ‘더 넥스트 스파크’ 출시
## [경제 브리핑] <한국지엠:ORG> ‘<더 넥스트 스파크:POH>’ 출시
[	[	SS	O
경제	경제	NNG	O
_	_	_	O
브리핑	브리핑	NNG	O
]	]	SS	O
