## 1
## BRF는 부패한 고기의 냄새를 없애기 위해 금지된 화학물질을 사용하고 유통기한을 위조한 혐의를 받는 업체다.
## <BRF:ORG>는 부패한 고기의 냄새를 없애기 위해 금지된 화학물질을 사용하고 유통기한을 위조한 혐의를 받는 업체다.
BRF	BRF	SL	B-ORG
는	는	JX	O
_	_	_	O
부패한	부패하+ㄴ	VV+ETM	O
_	_	_	O
고기	고기	NNG	O
의	의	JKG	O
_	_	_	O
냄새	냄새	NNG	O
를	를	JKO	O
_	_	_	O
없애	없애	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
금지된	금지되+ㄴ	VV+ETM	O
_	_	_	O
화학	화학	NNG	O
물질	물질	NNG	O
을	을	JKO	O
_	_	_	O
사용하	사용하	VV	O
고	고	EC	O
_	_	_	O
유통	유통	NNG	O
기한	기한	NNG	O
을	을	JKO	O
_	_	_	O
위조한	위조하+ㄴ	VV+ETM	O
_	_	_	O
혐의	혐의	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
는	는	ETM	O
_	_	_	O
업체	업체+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 우리와 함께 일한 미국 기독교의 옛 주류는 쇠퇴하고 있습니다.
## 우리와 함께 일한 <미국 기독교:ORG>의 옛 주류는 쇠퇴하고 있습니다.
우리	우리	NP	O
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
일한	일하+ㄴ	VV+ETM	O
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	I-ORG
기독교	기독교	NNG	I-ORG
의	의	JKG	O
_	_	_	O
옛	옛	MM	O
_	_	_	O
주류	주류	NNG	O
는	는	JX	O
_	_	_	O
쇠퇴하	쇠퇴하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
습니다	습니다	EF	O
.	.	SF	O

## 3
## 2003년 4월 28일 범정부 차원의 ‘사스(SARS) 정부종합상황실’이 출범했다.
## <2003년 4월 28일:DAT> 범정부 차원의 ‘<사스:POH>(<SARS:POH>) 정부종합상황실’이 출범했다.
2003	2003	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
4	4	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
28	28	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
범	범	XPN	O
정부	정부	NNG	O
_	_	_	O
차원	차원	NNG	O
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
사스	사스	NNG	B-POH
(	(	SS	O
SARS	SARS	SL	B-POH
)	)	SS	O
_	_	_	O
정부	정부	NNG	O
종합	종합	NNG	O
상황실	상황실	NNG	O
’	’	SS	O
이	이	JKS	O
_	_	_	O
출범	출범하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## “제가 23세 때 처음 심청을 맡았어요.
## “제가 <23세:NOH> 때 처음 심청을 맡았어요.
“	“	SS	O
제	제	NP	O
가	가	JKS	O
_	_	_	O
23	23	SN	B-NOH
세	세	NNB	I-NOH
_	_	_	O
때	때	NNG	O
_	_	_	O
처음	처음	NNG	O
_	_	_	O
심청	심청	NNP	O
을	을	JKO	O
_	_	_	O
맡	맡	VV	O
았	았	EP	O
어요	어요	EF	O
.	.	SF	O

## 5
## 박 시장은 (참여에) 한계가 있어 실제로는 저와 안 의원의 공동대표다.
## <박:PER> 시장은 (참여에) 한계가 있어 실제로는 저와 <안:PER> 의원의 공동대표다.
