## 1
## 지금은 드라마 ‘보보심경:려’ 촬영에도 한창이다.
## 지금은 드라마 ‘<보보심경:려:POH>’ 촬영에도 한창이다.
지금	지금	NNG	O
은	은	JX	O
_	_	_	O
드라마	드라마	NNG	O
_	_	_	O
‘	‘	SS	O
보보	보보	NNG	B-POH
심경	심경	NNG	I-POH
:	:	SP	I-POH
려	려	EF	I-POH
’	’	SS	O
_	_	_	O
촬영	촬영	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
한창	한창	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 주민들도 “서울시가 몽니를 부리고 있다”는 의견을 내놓고 있다.
## 주민들도 “<서울시:ORG>가 몽니를 부리고 있다”는 의견을 내놓고 있다.
주민	주민	NNG	O
들	들	XSN	O
도	도	JX	O
_	_	_	O
“	“	SS	O
서울시	서울시	NNP	B-ORG
가	가	JKS	O
_	_	_	O
몽니	몽니	NNG	O
를	를	JKO	O
_	_	_	O
부리	부리	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
는	는	JX	O
_	_	_	O
의견	의견	NNG	O
을	을	JKO	O
_	_	_	O
내놓	내놓	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 스페인 스포르트, ESPN 등은 수아레스에게 평점 10점 만점을 부여했다.
## <스페인 스포르트:POH>, <ESPN:POH> 등은 <수아레스:PER>에게 평점 <10점:NOH> 만점을 부여했다.
스페인	스페인	NNP	B-POH
_	_	_	I-POH
스포르트	스포르트	NNP	I-POH
,	,	SP	O
_	_	_	O
ESPN	ESPN	SL	B-POH
_	_	_	O
등	등	NNB	O
은	은	JX	O
_	_	_	O
수아레스	수아레스	NNP	B-PER
에게	에게	JKB	O
_	_	_	O
평점	평점	NNG	O
_	_	_	O
10	10	SN	B-NOH
점	점	NNB	I-NOH
_	_	_	O
만점	만점	NNG	O
을	을	JKO	O
_	_	_	O
부여	부여하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 서양인들은 샐러드를 한 끼 식사로도 먹는다.
## 서양인들은 샐러드를 <한 끼:NOH> 식사로도 먹는다.
서양인	서양인	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
샐러드	샐러드	NNG	O
를	를	JKO	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
끼	끼	NNG	I-NOH
_	_	_	O
식사	식사	NNG	O
로	로	JKB	O
도	도	JX	O
_	_	_	O
먹	먹	VV	O
는다	는다	EF	O
.	.	SF	O

## 5
## 부산고를 졸업한 전현태는 지난 2005년 2차 2라운드 12순위로 지명돼 한화에 입단한 선수다.
