## 1
## NBA의 평균(4.8m)보다 14cm 이상 높다.
## <NBA:ORG>의 평균(<4.8m:NOH>)보다 <14cm:NOH> 이상 높다.
NBA	NBA	SL	B-ORG
의	의	JKG	O
_	_	_	O
평균	평균	NNG	O
(	(	SS	O
4.8	4.8	SN	B-NOH
m	m	SL	I-NOH
)	)	SS	O
보다	보다	JKB	O
_	_	_	O
14	14	SN	B-NOH
cm	cm	SL	I-NOH
_	_	_	O
이상	이상	NNG	O
_	_	_	O
높	높	VA	O
다	다	EF	O
.	.	SF	O

## 2
## 통영시는 주민들의 요구에 따라 2015년 7월 전체 인버터를 교체하는 공사를 했다.
## <통영시:LOC>는 주민들의 요구에 따라 <2015년 7월:DAT> 전체 인버터를 교체하는 공사를 했다.
통영시	통영시	NNP	B-LOC
는	는	JX	O
_	_	_	O
주민	주민	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
요구	요구	NNG	O
에	에	JKB	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
7	7	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
전체	전체	NNG	O
_	_	_	O
인버터	인버터	NNG	O
를	를	JKO	O
_	_	_	O
교체하	교체하	VV	O
는	는	ETM	O
_	_	_	O
공사	공사	NNG	O
를	를	JKO	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 하지만 케네디 대통령은 참모들의 다양한 의견을 들어 폭격 대신 쿠바 해역을 봉쇄하는 안을 택한다.
## 하지만 <케네디:PER> 대통령은 참모들의 다양한 의견을 들어 폭격 대신 <쿠바:LOC> 해역을 봉쇄하는 안을 택한다.
하지만	하지만	MAJ	O
_	_	_	O
케네디	케네디	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
참모	참모	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
의견	의견	NNG	O
을	을	JKO	O
_	_	_	O
들	듣	VV	O
어	어	EC	O
_	_	_	O
폭격	폭격	NNG	O
_	_	_	O
대신	대신	NNG	O
_	_	_	O
쿠바	쿠바	NNP	B-LOC
_	_	_	O
해역	해역	NNG	O
을	을	JKO	O
_	_	_	O
봉쇄하	봉쇄하	VV	O
는	는	ETM	O
_	_	_	O
안	안	NNG	O
을	을	JKO	O
_	_	_	O
택한다	택하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 8일 박병호는 서울 목동구장에서 케이티 위즈와 치른 시범경기 2차전에 4번 타자 겸 1루수로 선발 출장했다.
## <8일:DAT> <박병호:PER>는 <서울:LOC> <목동구장:LOC>에서 <케이티 위즈:ORG>와 치른 시범경기 <2차전:NOH>에 <4번:NOH> 타자 겸 <1루수:NOH>로 선발 출장했다.
8	8	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
박병호	박병호	NNP	B-PER
는	는	JX	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
목동구장	목동구장	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
케이티	케이티	NNP	B-ORG
_	_	_	I-ORG
위즈	위즈	NNP	I-ORG
와	와	JC	O
_	_	_	O
치른	치르+ㄴ	VV+ETM	O
_	_	_	O
시범	시범	NNG	O
경기	경기	NNG	O
_	_	_	O
2	2	SN	B-NOH
차	차	NNB	I-NOH
전	전	XSN	I-NOH
에	에	JKB	O
_	_	_	O
4	4	SN	B-NOH
번	번	NNB	I-NOH
_	_	_	O
타자	타자	NNG	O
_	_	_	O
겸	겸	NNB	O
_	_	_	O
1	1	SN	B-NOH
루	루	NNG	I-NOH
수	수	XSN	I-NOH
로	로	JKB	O
_	_	_	O
선발	선발	NNG	O
_	_	_	O
출장	출장하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 이 보고서는 1903년 고종의 즉위 40주년을 축하하는 사절로 한국에 온 베베르 공사가 그해 4월 러시아 본국에 보낸 것으로 러시아 대외정책문서보관소에 보관돼 있다.
## 이 보고서는 <1903년:DAT> <고종:PER>의 즉위 <40주년:NOH>을 축하하는 사절로 <한국:ORG>에 온 <베베르:PER> 공사가 그해 <4월:DAT> <러시아:ORG> 본국에 보낸 것으로 <러시아 대외정책문서보관소:ORG>에 보관돼 있다.
이	이	MM	O
_	_	_	O
보고서	보고서	NNG	O
는	는	JX	O
_	_	_	O
1903	1903	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
고종	고종	NNP	B-PER
의	의	JKG	O
_	_	_	O
