## 1
## 예를 들어 참여정부 첫 총리로 고건 씨를 임명했는데, 요즘 잣대로 보면 청문회 통과가 힘들었어요.
## 예를 들어 참여정부 첫 총리로 <고건:PER> 씨를 임명했는데, 요즘 잣대로 보면 청문회 통과가 힘들었어요.
예	예	NNG	O
를	를	JKO	O
_	_	_	O
들	들	VV	O
어	어	EC	O
_	_	_	O
참여	참여	NNG	O
정부	정부	NNG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
총리	총리	NNG	O
로	로	JKB	O
_	_	_	O
고건	고건	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
를	를	JKO	O
_	_	_	O
임명	임명하	VV	O
했	였	EP	O
는데	는데	EC	O
,	,	SP	O
_	_	_	O
요즘	요즘	NNG	O
_	_	_	O
잣대	잣대	NNG	O
로	로	JKB	O
_	_	_	O
보	보	VV	O
면	면	EC	O
_	_	_	O
청문회	청문회	NNG	O
_	_	_	O
통과	통과	NNG	O
가	가	JKS	O
_	_	_	O
힘들	힘들	VA	O
었	었	EP	O
어요	어요	EF	O
.	.	SF	O

## 2
## IS 지도자의 측근이라면서 “시리아로 오면 좋은 아파트에 살게 해주겠다”더랍니다.
## <IS:ORG> 지도자의 측근이라면서 “<시리아:LOC>로 오면 좋은 아파트에 살게 해주겠다”더랍니다.
IS	IS	SL	B-ORG
_	_	_	O
지도자	지도자	NNG	O
의	의	JKG	O
_	_	_	O
측근	측근	NNG	O
이	이	VCP	O
라면서	라면서	EC	O
_	_	_	O
“	“	SS	O
시리아	시리아	NNP	B-LOC
로	로	JKB	O
_	_	_	O
오	오	VV	O
면	면	EC	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
아파트	아파트	NNG	O
에	에	JKB	O
_	_	_	O
살	살	VV	O
게	게	EC	O
_	_	_	O
해	하+여	VX+EC	O
주	주	VX	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
더랍니다	더랍니다	EF	O
.	.	SF	O

## 3
## 조인성 트레이스 출연? "차기작으로 영화 검토중이긴 하지만..."한재림 감독의 신작 '트레이스'에 배우 조인성이 출연한다는 보도에 대해 조인성 측은 "사실이 아니다"고 밝혔다.
## <조인성:PER> <트레이스:POH> 출연? "차기작으로 영화 검토중이긴 하지만..."<한재림:PER> 감독의 신작 '<트레이스:POH>'에 배우 <조인성:PER>이 출연한다는 보도에 대해 <조인성:PER> 측은 "사실이 아니다"고 밝혔다.
조인성	조인성	NNP	B-PER
_	_	_	O
트레이스	트레이스	NNG	B-POH
_	_	_	O
출연	출연	NNG	O
?	?	SF	O
_	_	_	O
"	"	SS	O
차기	차기	NNG	O
작	작	XSN	O
으로	으로	JKB	O
_	_	_	O
영화	영화	NNG	O
_	_	_	O
검토	검토	NNG	O
중	중	NNB	O
이	이	VCP	O
긴	기+ㄴ	ETN+JX	O
_	_	_	O
하	하	VX	O
지만	지만	EF	O
.	.	SF	O
.	.	SF	O
.	.	SF	O
"	"	SS	O
한재림	한재림	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
의	의	JKG	O
_	_	_	O
신작	신작	NNG	O
_	_	_	O
'	'	SS	O
트레이스	트레이스	NNG	B-POH
'	'	SS	O
에	에	JKB	O
_	_	_	O
배우	배우	NNG	O
_	_	_	O
조인성	조인성	NNP	B-PER
이	이	JKS	O
_	_	_	O
출연한다는	출연하+ㄴ다는	VV+ETM	O
_	_	_	O
보도	보도	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
조인성	조인성	NNP	B-PER
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
"	"	SS	O
사실	사실	NNG	O
이	이	JKC	O
_	_	_	O
아니	아니	VCN	O
다	다	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 조인성의 소속사 IOK엔터테인먼트의 한 관계자는 10일 "한재림 감독의 작품을 제안받고 검토 중이긴 한데 그 작품이 '트레이스'는 아니다"면서 "아직 논의가 진행되고 있는 만큼, 차기작에 대해 확정적으로 말하긴 어려운 상태다"고 밝혔다.
