## 1
## 제트워셔 ‘EW-1211’은 1분 1400회에 달하는 단속분사기술로 노즐에서 뿜어나오는 물줄기가 음식물 찌꺼기와 치석을 제거한다.
## <제트워셔 ‘EW-1211’:POH>은 <1분:DUR> <1400회:NOH>에 달하는 단속분사기술로 노즐에서 뿜어나오는 물줄기가 음식물 찌꺼기와 치석을 제거한다.
제트	제트	NNG	B-POH
워셔	워셔	NNG	I-POH
_	_	_	I-POH
‘	‘	SS	I-POH
EW	EW	SL	I-POH
-	-	SO	I-POH
1211	1211	SN	I-POH
’	’	SS	I-POH
은	은	JX	O
_	_	_	O
1	1	SN	B-DUR
분	분	NNB	I-DUR
_	_	_	O
1400	1400	SN	B-NOH
회	회	NNB	I-NOH
에	에	JKB	O
_	_	_	O
달하	달하	VV	O
는	는	ETM	O
_	_	_	O
단속	단속	NNG	O
분사기	분사기	NNG	O
술	술	NNG	O
로	로	JKB	O
_	_	_	O
노즐	노즐	NNG	O
에서	에서	JKB	O
_	_	_	O
뿜	뿜	VV	O
어	어	EC	O
나오	나오	VV	O
는	는	ETM	O
_	_	_	O
물줄기	물줄기	NNG	O
가	가	JKS	O
_	_	_	O
음식물	음식물	NNG	O
_	_	_	O
찌꺼기	찌꺼기	NNG	O
와	와	JC	O
_	_	_	O
치석	치석	NNG	O
을	을	JKO	O
_	_	_	O
제거한다	제거하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 옛 시장 건물의 흔적들이 고스란히 남아있는 점도 영프라쟈가 가진 특색이다.
## 옛 시장 건물의 흔적들이 고스란히 남아있는 점도 <영프라쟈:LOC>가 가진 특색이다.
옛	옛	MM	O
_	_	_	O
시장	시장	NNG	O
_	_	_	O
건물	건물	NNG	O
의	의	JKG	O
_	_	_	O
흔적	흔적	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
고스란히	고스란히	MAG	O
_	_	_	O
남	남	VV	O
아	아	EC	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
점	점	NNG	O
도	도	JX	O
_	_	_	O
영	영	NNP	B-LOC
프	프+이	NNP+VCP	I-LOC
라	라	EC	I-LOC
쟈	쟈	NNG	I-LOC
가	가	JKS	O
_	_	_	O
가진	가지+ㄴ	VV+ETM	O
_	_	_	O
특색	특색	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 하지만 현재 검찰의 수사 상황을 보면 가장 먼저 구속된 최순실에 대한 수사만 거의 완료되어 이번 주말 기소를 앞두고 있을 뿐, 대통령과 관련되었다는 의혹이 제기된 안종범 전 경제수석, 정호성 전 부속비서관, 차은택 등은 현재 구속이 되어 있는 상태에서 수사가 진행 중에 있으며 대통령 관련 여부가 문제되고 있는 조원동 전 경제수석에 대해서는 어제 조 전 수석의 자택에 대한 압수수색으로 이제 막 수사가 시작된 상태이며 안봉근, 이재만 전 비서관들에 대해서도 어제 수사가 진행되었을 뿐입니다.
## 하지만 현재 검찰의 수사 상황을 보면 가장 먼저 구속된 <최순실:PER>에 대한 수사만 거의 완료되어 이번 주말 기소를 앞두고 있을 뿐, 대통령과 관련되었다는 의혹이 제기된 <안종범:PER> 전 경제수석, <정호성:PER> 전 부속비서관, <차은택:PER> 등은 현재 구속이 되어 있는 상태에서 수사가 진행 중에 있으며 대통령 관련 여부가 문제되고 있는 <조원동:PER> 전 경제수석에 대해서는 어제 <조:PER> 전 수석의 자택에 대한 압수수색으로 이제 막 수사가 시작된 상태이며 <안봉근:PER>, <이재만:PER> 전 비서관들에 대해서도 어제 수사가 진행되었을 뿐입니다.
하지만	하지만	MAJ	O
_	_	_	O
현재	현재	MAG	O
_	_	_	O
검찰	검찰	NNG	O
의	의	JKG	O
_	_	_	O
수사	수사	NNG	O
_	_	_	O
상황	상황	NNG	O
을	을	JKO	O
_	_	_	O
보	보	VV	O
면	면	EC	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
먼저	먼저	MAG	O
_	_	_	O
구속된	구속되+ㄴ	VV+ETM	O
_	_	_	O
최순실	최순실	NNP	B-PER
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
수사	수사	NNG	O
만	만	JX	O
_	_	_	O
거의	거의	MAG	O
_	_	_	O
완료되	완료되	VV	O
어	어	EC	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
주말	주말	NNG	O
_	_	_	O
기소	기소	NNG	O
를	를	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
을	을	ETM	O
_	_	_	O
뿐	뿐	NNB	O
,	,	SP	O
_	_	_	O
대통령	대통령	NNG	O
과	과	JKB	O
_	_	_	O
관련되	관련되	VV	O
었	었	EP	O
다는	다는	ETM	O
_	_	_	O
의혹	의혹	NNG	O
이	이	JKS	O
_	_	_	O
제기된	제기되+ㄴ	VV+ETM	O
_	_	_	O
안종범	안종범	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
경제	경제	NNG	O
수석	수석	NNG	O
,	,	SP	O
_	_	_	O
정호성	정호성	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
부속	부속	NNG	O
비서관	비서관	NNG	O
,	,	SP	O
_	_	_	O
차은택	차은택	NNP	B-PER
_	_	_	O
등	등	NNB	O
은	은	JX	O
_	_	_	O
현재	현재	MAG	O
_	_	_	O
구속	구속	NNG	O
이	이	JKC	O
_	_	_	O
되	되	VV	O
어	어	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
상태	상태	NNG	O
에서	에서	JKB	O
_	_	_	O
수사	수사	NNG	O
가	가	JKS	O
_	_	_	O
진행	진행	NNG	O
_	_	_	O
중	중	NNB	O
에	에	JKB	O
_	_	_	O
있	있	VA	O
으며	으며	EC	O
_	_	_	O
대통령	대통령	NNG	O
_	_	_	O
관련	관련	NNG	O
_	_	_	O
여부	여부	NNG	O
가	가	JKS	O
_	_	_	O
문제	문제	NNG	O
되	되	XSV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
조원동	조원동	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
경제	경제	NNG	O
수석	수석	NNG	O
에	에	JKB	O
_	_	_	O
대해서	대하+여서	VV+EC	O
는	는	JX	O
_	_	_	O
어제	어제	MAG	O
_	_	_	O
조	조	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
수석	수석	NNG	O
의	의	JKG	O
_	_	_	O
자택	자택	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
압수	압수	NNG	O
수색	수색	NNG	O
으로	으로	JKB	O
_	_	_	O
이제	이제	MAG	O
_	_	_	O
막	막	MAG	O
_	_	_	O
수사	수사	NNG	O
가	가	JKS	O
_	_	_	O
시작된	시작되+ㄴ	VV+ETM	O
_	_	_	O
상태	상태	NNG	O
이	이	VCP	O
며	며	EC	O
_	_	_	O
안봉근	안봉근	NNP	B-PER
,	,	SP	O
_	_	_	O
이재만	이재만	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
비서관	비서관	NNG	O
들	들	XSN	O
에	에	JKB	O
_	_	_	O
대해서	대하+여서	VV+EC	O
도	도	JX	O
_	_	_	O
어제	어제	MAG	O
_	_	_	O
수사	수사	NNG	O
가	가	JKS	O
_	_	_	O
진행되	진행되	VV	O
었	었	EP	O
을	을	ETM	O
_	_	_	O
뿐	뿐	NNB	O
입니다	이+ㅂ니다	VCP+EF	O
.	.	SF	O

## 4
## 4곳의 구청장 가운데 3명(중·서·영도구)이 3선으로 내년에 물러날 예정이어서 구청장의 통합 건의를 쉽게 끌어낼 수 있다는 판단에서다.
## <4곳:NOH>의 구청장 가운데 <3명:NOH>(<중:LOC>·<서:LOC>·<영도구:LOC>)이 <3선:NOH>으로 내년에 물러날 예정이어서 구청장의 통합 건의를 쉽게 끌어낼 수 있다는 판단에서다.
4	4	SN	B-NOH
곳	곳	NNG	I-NOH
의	의	JKG	O
_	_	_	O
구청장	구청장	NNG	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
3	3	SN	B-NOH
명	명	NNB	I-NOH
(	(	SS	O
중	중	NNG	B-LOC
·	·	SP	O
서	서	NNG	B-LOC
·	·	SP	O
영도구	영도구	NNP	B-LOC
)	)	SS	O
이	이	JKS	O
_	_	_	O
3	3	SN	B-NOH
선	선	NNG	I-NOH
으로	으로	JKB	O
_	_	_	O
내년	내년	NNG	O
에	에	JKB	O
_	_	_	O
물러날	물러나+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
어서	어서	EC	O
_	_	_	O
구청장	구청장	NNG	O
의	의	JKG	O
_	_	_	O
통합	통합	NNG	O
_	_	_	O
건의	건의	NNG	O
를	를	JKO	O
_	_	_	O
쉽	쉽	VA	O
게	게	EC	O
_	_	_	O
끌어낼	끌어내+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다는	다는	ETM	O
_	_	_	O
판단	판단	NNG	O
에서	에서+이	JKB+VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 나비족은 특이하게도 문자체계가 없었고 나비가 노래를 부르며 역사를 기록했다.
## <나비족:ORG>은 특이하게도 문자체계가 없었고 나비가 노래를 부르며 역사를 기록했다.
나비	나비	NNG	B-ORG
족	족	XSN	I-ORG
은	은	JX	O
_	_	_	O
특이하	특이하	VA	O
게	게	EC	O
도	도	JX	O
_	_	_	O
문자	문자	NNG	O
체계	체계	NNG	O
가	가	JKS	O
_	_	_	O
없	없	VA	O
었	었	EP	O
고	고	EC	O
_	_	_	O
나비	나비	NNG	O
가	가	JKS	O
_	_	_	O
노래	노래	NNG	O
를	를	JKO	O
_	_	_	O
부르	부르	VV	O
며	며	EC	O
_	_	_	O
역사	역사	NNG	O
를	를	JKO	O
_	_	_	O
기록	기록하	VV	O
했	였	EP	O
