## 1
## 철길을 따라 신도림역에 도착한 시민들은 퇴근길도 걱정됐다.
## 철길을 따라 <신도림역:LOC>에 도착한 시민들은 퇴근길도 걱정됐다.
철길	철길	NNG	O
을	을	JKO	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
신도림역	신도림역	NNP	B-LOC
에	에	JKB	O
_	_	_	O
도착한	도착하+ㄴ	VV+ETM	O
_	_	_	O
시민	시민	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
퇴근길	퇴근길	NNG	O
도	도	JX	O
_	_	_	O
걱정	걱정되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 중국 정부는 이번 사고와 관련해 애도의 뜻을 밝히고 협조를 약속했다.
## <중국 정부:ORG>는 이번 사고와 관련해 애도의 뜻을 밝히고 협조를 약속했다.
중국	중국	NNP	B-ORG
_	_	_	I-ORG
정부	정부	NNG	I-ORG
는	는	JX	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
사고	사고	NNG	O
와	와	JKB	O
_	_	_	O
관련해	관련하+여	VV+EC	O
_	_	_	O
애도	애도	NNG	O
의	의	JKG	O
_	_	_	O
뜻	뜻	NNG	O
을	을	JKO	O
_	_	_	O
밝히	밝히	VV	O
고	고	EC	O
_	_	_	O
협조	협조	NNG	O
를	를	JKO	O
_	_	_	O
약속	약속하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 강 회장은 이 시스템을 한국에서 뿐 아니라 외국에 수출하는 구상도 하고 있다.
## <강:PER> 회장은 이 시스템을 <한국:LOC>에서 뿐 아니라 외국에 수출하는 구상도 하고 있다.
강	강	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
은	은	JX	O
_	_	_	O
이	이	MM	O
_	_	_	O
시스템	시스템	NNG	O
을	을	JKO	O
_	_	_	O
한국	한국	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
뿐	뿐	NNB	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
_	_	_	O
외국	외국	NNG	O
에	에	JKB	O
_	_	_	O
수출하	수출하	VV	O
는	는	ETM	O
_	_	_	O
구상	구상	NNG	O
도	도	JX	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
