## 1
## 현재 사망자는 발생하지 않은 것으로 파악되고 있으며, 부상자는 10여 명인 것으로 추정된다.
## 현재 사망자는 발생하지 않은 것으로 파악되고 있으며, 부상자는 <10여 명:NOH>인 것으로 추정된다.
현재	현재	MAG	O
_	_	_	O
사망자	사망자	NNG	O
는	는	JX	O
_	_	_	O
발생하	발생하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
은	은	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
파악되	파악되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
으며	으며	EC	O
,	,	SP	O
_	_	_	O
부상자	부상자	NNG	O
는	는	JX	O
_	_	_	O
10	10	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
인	이+ㄴ	VCP+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
추정된다	추정되+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 삼성은 7연패의 수렁에서 탈출했다.
## <삼성:ORG>은 <7연패:NOH>의 수렁에서 탈출했다.
삼성	삼성	NNP	B-ORG
은	은	JX	O
_	_	_	O
7	7	SN	B-NOH
연패	연패	NNG	I-NOH
의	의	JKG	O
_	_	_	O
수렁	수렁	NNG	O
에서	에서	JKB	O
_	_	_	O
탈출	탈출하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## [인사]한국수자원공사(K-water)
## [인사]<한국수자원공사:ORG>(<K-water:ORG>)
[	[	SS	O
인사	인사	NNG	O
]	]	SS	O
한국수자원공사	한국수자원공사	NNP	B-ORG
(	(	SS	O
K	K	SL	B-ORG
-	-	SO	I-ORG
water	water	SL	I-ORG
)	)	SS	O

## 4
## 정부는 무슨 자격으로 일본과 협상을 맺었는가?”며 “법률적으로 무효다”라고 주장했다.
## 정부는 무슨 자격으로 <일본:ORG>과 협상을 맺었는가?”며 “법률적으로 무효다”라고 주장했다.
정부	정부	NNG	O
는	는	JX	O
_	_	_	O
무슨	무슨	MM	O
_	_	_	O
자격	자격	NNG	O
으로	으로	JKB	O
_	_	_	O
일본	일본	NNP	B-ORG
과	과	JKB	O
_	_	_	O
협상	협상	NNG	O
을	을	JKO	O
_	_	_	O
맺	맺	VV	O
었	었	EP	O
는가	는가	EF	O
?	?	SF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
법률적	법률적	NNG	O
으로	으로	JKB	O
_	_	_	O
무효	무효+이	NNG+VCP	O
다	다	EF	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
주장	주장하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## “둘 다 행복해질 수 있는 판결을 내리기란 어렵습니다.
## “<둘:NOH> 다 행복해질 수 있는 판결을 내리기란 어렵습니다.
“	“	SS	O
둘	둘	NR	B-NOH
_	_	_	O
다	다	MAG	O
_	_	_	O
행복해	행복하+여	VA+EC	O
질	지+ㄹ	VX+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
판결	판결	NNG	O
을	을	JKO	O
_	_	_	O
내리	내리	VV	O
기	기	ETN	O
란	란	JX	O
_	_	_	O
어렵	어렵	VA	O
습니다	습니다	EF	O
.	.	SF	O

## 6
## 이런 열악한 상황 속에서도 VR관련 소프트웨어 기술 하나만으로 정상을 향해 돌진하고 있는 토종기업이 있어 주목받고 있다.
## 이런 열악한 상황 속에서도 VR관련 소프트웨어 기술 <하나:NOH>만으로 정상을 향해 돌진하고 있는 토종기업이 있어 주목받고 있다.
이런	이런	MM	O
_	_	_	O
열악한	열악하+ㄴ	VA+ETM	O
_	_	_	O
상황	상황	NNG	O
_	_	_	O
속	속	NNG	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
VR	VR	SL	O
관련	관련	NNG	O
_	_	_	O
소프트웨어	소프트웨어	NNG	O
_	_	_	O
기술	기술	NNG	O
_	_	_	O
하나	하나	NR	B-NOH
만	만	JX	O
으로	으로	JKB	O
_	_	_	O
정상	정상	NNG	O
을	을	JKO	O
_	_	_	O
향해	향하+여	VV+EC	O
_	_	_	O
돌진하	돌진하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
토종	토종	NNG	O
기업	기업	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
어	어	EC	O
_	_	_	O
주목	주목	NNG	O
받	받	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 7
## 1%대 저금리 기조로 전세 품귀 현상이 빚어지고 집값도 감당할 수 없는 수준으로 올랐기 때문이다.
## <1%:PNT>대 저금리 기조로 전세 품귀 현상이 빚어지고 집값도 감당할 수 없는 수준으로 올랐기 때문이다.
1	1	SN	B-PNT
%	%	SW	I-PNT
대	대	XSN	O
_	_	_	O
저금리	저금리	NNG	O
_	_	_	O
기조	기조	NNG	O
로	로	JKB	O
_	_	_	O
전세	전세	NNG	O
_	_	_	O
품귀	품귀	NNG	O
_	_	_	O
현상	현상	NNG	O
이	이	JKS	O
_	_	_	O
빚어지	빚어지	VV	O
고	고	EC	O
_	_	_	O
집값	집값	NNG	O
도	도	JX	O
_	_	_	O
감당할	감당하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
수준	수준	NNG	O
으로	으로	JKB	O
_	_	_	O
올	오르	VV	O
랐	았	EP	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 여자 -67kg급의 오혜리(27·춘천시청)도 여자선수 중에선 리우올림픽에 가장 근접해 있다.
## 여자 <-67kg급:NOH>의 <오혜리:PER>(<27:NOH>·<춘천시청:ORG>)도 여자선수 중에선 <리우올림픽:POH>에 가장 근접해 있다.
여자	여자	NNG	O
_	_	_	O
-	-	SO	B-NOH
67	67	SN	I-NOH
kg	kg	SL	I-NOH
급	급	NNG	I-NOH
의	의	JKG	O
_	_	_	O
오혜리	오혜리	NNP	B-PER
(	(	SS	O
27	27	SN	B-NOH
·	·	SP	O
춘천시청	춘천시청	NNP	B-ORG
)	)	SS	O
도	도	JX	O
_	_	_	O
여자	여자	NNG	O
선수	선수	NNG	O
_	_	_	O
중	중	NNB	O
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
리우	리우	NNP	B-POH
올림픽	올림픽	NNG	I-POH
에	에	JKB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
근접해	근접하+여	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 9
## 현대중공업의 과장급 이상 직원은 1만여 명이다.
## <현대중공업:ORG>의 과장급 이상 직원은 <1만여 명:NOH>이다.
현대중공업	현대중공업	NNP	B-ORG
의	의	JKG	O
_	_	_	O
과장	과장	NNG	O
급	급	NNG	O
_	_	_	O
이상	이상	NNG	O
_	_	_	O
직원	직원	NNG	O
은	은	JX	O
_	_	_	O
1	1	SN	B-NOH
만	만	NR	I-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 10
## 한상공은 지난 9일 조합 소속 8개 공제계약사(신용평가, 재무사항 등 일정 기준 고려해 위탁한 상조회사)와 함께 기존 납입금의 50%를 보상받는 방식과 별도로 ‘안심서비스’란 보상 방식을 마련했다.
## <한상공:NOH>은 지난 <9일:DAT> 조합 소속 <8개:NOH> 공제계약사(신용평가, 재무사항 등 일정 기준 고려해 위탁한 상조회사)와 함께 기존 납입금의 <50%:PNT>를 보상받는 방식과 별도로 ‘안심서비스’란 보상 방식을 마련했다.
한	한	NNP	B-NOH
상공	상공	NNG	I-NOH
은	은	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
9	9	SN	B-DAT
