## 1
## 같은 기간 서정마을 5단지가 3억 5,500만원에서 500만원 오른 것에 비하면 혁신학교 학군 아파트의 상승폭이 크다.
## 같은 기간 <서정마을 5단지:LOC>가 <3억 5,500만원:MNY>에서 <500만원:MNY> 오른 것에 비하면 혁신학교 학군 아파트의 상승폭이 크다.
같	같	VA	O
은	은	ETM	O
_	_	_	O
기간	기간	NNG	O
_	_	_	O
서정	서정	NNG	B-LOC
마을	마을	NNG	I-LOC
_	_	_	I-LOC
5	5	SN	I-LOC
단지	단지	NNG	I-LOC
가	가	JKS	O
_	_	_	O
3	3	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
5,500	5,500	SN	I-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
에서	에서	JKB	O
_	_	_	O
500	500	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
_	_	_	O
오른	오르+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
에	에	JKB	O
_	_	_	O
비하	비하	VV	O
면	면	EC	O
_	_	_	O
혁신	혁신	NNG	O
학교	학교	NNG	O
_	_	_	O
학군	학군	NNG	O
_	_	_	O
아파트	아파트	NNG	O
의	의	JKG	O
_	_	_	O
상승	상승	NNG	O
폭	폭	NNG	O
이	이	JKS	O
_	_	_	O
크	크	VA	O
다	다	EF	O
.	.	SF	O

## 2
## 우승 다툼 외에도 항상 뜨거운 화제를 낳는 강등권 싸움과 유럽축구연맹(UEFA) 챔피언스리그 출전권 경쟁에도 시선이 쏠린다.
## 우승 다툼 외에도 항상 뜨거운 화제를 낳는 강등권 싸움과 <유럽축구연맹(UEFA) 챔피언스리그:POH> 출전권 경쟁에도 시선이 쏠린다.
우승	우승	NNG	O
_	_	_	O
다툼	다툼	NNG	O
_	_	_	O
외	외	NNB	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
항상	항상	MAG	O
_	_	_	O
뜨거	뜨겁	VA	O
운	ㄴ	ETM	O
_	_	_	O
화제	화제	NNG	O
를	를	JKO	O
_	_	_	O
낳	낳	VV	O
는	는	ETM	O
_	_	_	O
강등	강등	NNG	O
권	권	XSN	O
_	_	_	O
싸움	싸움	NNG	O
과	과	JC	O
_	_	_	O
유럽축구연맹	유럽축구연맹	NNP	B-POH
(	(	SS	I-POH
UEFA	UEFA	SL	I-POH
)	)	SS	I-POH
_	_	_	I-POH
챔피언스	챔피언스	NNG	I-POH
리그	리그	NNG	I-POH
_	_	_	O
출전권	출전권	NNG	O
_	_	_	O
경쟁	경쟁	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
시선	시선	NNG	O
이	이	JKS	O
_	_	_	O
쏠린다	쏠리+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 하지만 박명수·아이유의 ‘레옹’이 쟁쟁한 참가자들을 제치고 1위에 올랐다.
## 하지만 <박명수:PER>·<아이유:PER>의 ‘<레옹:POH>’이 쟁쟁한 참가자들을 제치고 <1위:NOH>에 올랐다.
하지만	하지만	MAJ	O
_	_	_	O
박명수	박명수	NNP	B-PER
·	·	SP	O
아이유	아이유	NNP	B-PER
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
레옹	레옹	NNP	B-POH
’	’	SS	O
이	이	JKS	O
_	_	_	O
쟁쟁한	쟁쟁하+ㄴ	VA+ETM	O
_	_	_	O
참가자	참가자	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
제치	제치	VV	O
고	고	EC	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
에	에	JKB	O
_	_	_	O
올	오르	VV	O
랐	았	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 발전소 및 현금을 기부하는 아스트로너지쏠라코리아는 춘천시 붕어섬에 9MW 태양광발전소를 운영 중인 에너지 기업으로 그동안 케이팝 콘서트 및 대안학교의 태양광발전시설 지원 등 다양한 분야에서 공헌해 왔다.
## 발전소 및 현금을 기부하는 <아스트로너지쏠라코리아:ORG>는 <춘천시:LOC> <붕어섬:LOC>에 <9MW:NOH> 태양광발전소를 운영 중인 에너지 기업으로 그동안 케이팝 콘서트 및 대안학교의 태양광발전시설 지원 등 다양한 분야에서 공헌해 왔다.
발전소	발전소	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
현금	현금	NNG	O
을	을	JKO	O
_	_	_	O
기부하	기부하	VV	O
는	는	ETM	O
_	_	_	O
아스트로너지쏠라코리아	아스트로너지쏠라코리아	NNG	B-ORG
는	는	JX	O
_	_	_	O
춘천시	춘천시	NNP	B-LOC
_	_	_	O
붕어섬	붕어섬	NNP	B-LOC
에	에	JKB	O
_	_	_	O
