## 1
## 막판에 급부상했던 최재경 전 인천지검장(53·17기)은 최종 후보군에 들지 못했으나 다른 공직을 맡을 것으로 알려졌다.
## 막판에 급부상했던 <최재경:PER> 전 인천지검장(<53:NOH>·<17기:NOH>)은 최종 후보군에 들지 못했으나 다른 공직을 맡을 것으로 알려졌다.
막판	막판	NNG	O
에	에	JKB	O
_	_	_	O
급부상	급부상하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
최재경	최재경	NNP	B-PER
_	_	_	O
전	전	NNG	O
_	_	_	O
인천	인천	NNP	O
지검	지검	NNG	O
장	장	XSN	O
(	(	SS	O
53	53	SN	B-NOH
·	·	SP	O
17	17	SN	B-NOH
기	기	NNG	I-NOH
)	)	SS	O
은	은	JX	O
_	_	_	O
최종	최종	NNG	O
_	_	_	O
후보	후보	NNG	O
군	군	NNG	O
에	에	JKB	O
_	_	_	O
들	들	VV	O
지	지	EC	O
_	_	_	O
못	못하	VX	O
했	였	EP	O
으나	으나	EC	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
공직	공직	NNG	O
을	을	JKO	O
_	_	_	O
맡	맡	VV	O
을	을	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려	알려지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 조동주 djc@donga.com·장관석 기자
## <조동주:PER> <djc@donga.com:POH>·<장관석:PER> 기자
조동주	조동주	NNP	B-PER
_	_	_	O
djc	djc	SL	B-POH
@	@	SW	I-POH
donga	donga	SL	I-POH
.	.	SF	I-POH
com	com	SL	I-POH
·	·	SP	O
장관	장관	NNG	B-PER
석	석	XSN	I-PER
_	_	_	O
기자	기자	NNG	O

## 3
## 강동성심병원 외래 입원 중단, 173번 70대女 확진 전 여러 병원 전전…재확산 막아라!
## <강동성심병원:ORG> 외래 입원 중단, <173번:NOH> <70대:NOH>女 확진 전 여러 병원 전전…재확산 막아라!
강동	강동	NNP	B-ORG
성심	성심	NNP	I-ORG
병원	병원	NNG	I-ORG
_	_	_	O
외래	외래	NNG	O
_	_	_	O
입원	입원	NNG	O
_	_	_	O
중단	중단	NNG	O
,	,	SP	O
_	_	_	O
173	173	SN	B-NOH
번	번	NNB	I-NOH
_	_	_	O
70	70	SN	B-NOH
대	대	NNB	I-NOH
女	女	SH	O
_	_	_	O
확진	확진	NNG	O
_	_	_	O
전	전	MM	O
_	_	_	O
여러	여러	MM	O
_	_	_	O
병원	병원	NNG	O
_	_	_	O
전전	전전	MM	O
…	…	SE	O
재	재	XPN	O
확산	확산	NNG	O
_	_	_	O
막	막	VV	O
아라	아라	EF	O
!	!	SF	O

## 4
## 박칼린, 바다에 "폭발적 가창력" 감동…새로운 시도 뭔가 보니
## <박칼린:PER>, <바다:PER>에 "폭발적 가창력" 감동…새로운 시도 뭔가 보니
박칼린	박칼린	NNP	B-PER
,	,	SP	O
_	_	_	O
바다	바다	NNG	B-PER
에	에	JKB	O
_	_	_	O
"	"	SS	O
폭발적	폭발적	NNG	O
_	_	_	O
가창력	가창력	NNG	O
"	"	SS	O
_	_	_	O
감동	감동	NNG	O
…	…	SE	O
새로	새롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
시도	시도	NNG	O
_	_	_	O
뭔가	뭐+이+ㄴ가	NP+VCP+EC	O
_	_	_	O
보	보	VX	O
니	니	EC	O

## 5
## 즉, 대치동 등 강남 일대에선 시간당 30만원이 표준 가격인 셈이다.
## 즉, <대치동:LOC> 등 <강남:LOC> 일대에선 시간당 <30만원:MNY>이 표준 가격인 셈이다.
즉	즉	MAG	O
,	,	SP	O
_	_	_	O
대치동	대치동	NNP	B-LOC
_	_	_	O
등	등	NNB	O
_	_	_	O
강남	강남	NNP	B-LOC
_	_	_	O
일대	일대	NNG	O
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
시간	시간	NNG	O
당	당	XSN	O
_	_	_	O
30	30	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
이	이	JKS	O
_	_	_	O
표준	표준	NNG	O
_	_	_	O
가격	가격	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
셈	셈	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 실력파 가수 적우가 KBS 1TV ‘가요무대’ 무대에 처음 나선다.
## 실력파 가수 <적우:PER>가 <KBS 1TV:POH> ‘<가요무대:POH>’ 무대에 처음 나선다.
실력파	실력파	NNG	O
_	_	_	O
가수	가수	NNG	O
_	_	_	O
적우	적우	NNG	B-PER
가	가	JKS	O
_	_	_	O
KBS	KBS	SL	B-POH
_	_	_	I-POH
1	1	SN	I-POH
TV	TV	SL	I-POH
_	_	_	O
‘	‘	SS	O
가요무대	가요무대	NNP	B-POH
’	’	SS	O
_	_	_	O
무대	무대	NNG	O
