## 1
## 한일시멘트 관계자는 “사업적 결정이지만 주민들의 민원을 수렴한 측면도 크다”면서 “민원 때문에 서울 지역에선 대체 부지 마련이 거의 불가능한 상황이라 지방 이전을 검토하고 있다”고 말했다.
## <한일시멘트:ORG> 관계자는 “사업적 결정이지만 주민들의 민원을 수렴한 측면도 크다”면서 “민원 때문에 <서울:LOC> 지역에선 대체 부지 마련이 거의 불가능한 상황이라 지방 이전을 검토하고 있다”고 말했다.
한일시멘트	한일시멘트	NNP	B-ORG
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
사업	사업	NNG	O
적	적	XSN	O
_	_	_	O
결정	결정	NNG	O
이	이	VCP	O
지만	지만	EC	O
_	_	_	O
주민	주민	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
민원	민원	NNG	O
을	을	JKO	O
_	_	_	O
수렴한	수렴하+ㄴ	VV+ETM	O
_	_	_	O
측면	측면	NNG	O
도	도	JX	O
_	_	_	O
크	크	VA	O
다	다	EF	O
”	”	SS	O
면서	면서	EC	O
_	_	_	O
“	“	SS	O
민원	민원	NNG	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
지역	지역	NNG	O
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
대체	대체	NNG	O
_	_	_	O
부지	부지	NNG	O
_	_	_	O
마련	마련	NNG	O
이	이	JKS	O
_	_	_	O
거의	거의	MAG	O
_	_	_	O
불가능한	불가능하+ㄴ	VA+ETM	O
_	_	_	O
상황	상황	NNG	O
이	이	VCP	O
라	라	EC	O
_	_	_	O
지방	지방	NNG	O
_	_	_	O
이전	이전	NNG	O
을	을	JKO	O
_	_	_	O
검토하	검토하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 특히 24일에는 김정훈이 4이닝 1실점으로 호투했다.
## 특히 <24일:DAT>에는 <김정훈:PER>이 <4이닝:NOH> <1실점:NOH>으로 호투했다.
특히	특히	MAG	O
_	_	_	O
24	24	SN	B-DAT
일	일	NNB	I-DAT
에	에	JKB	O
는	는	JX	O
_	_	_	O
김정훈	김정훈	NNP	B-PER
이	이	JKS	O
_	_	_	O
4	4	SN	B-NOH
이닝	이닝	NNG	I-NOH
_	_	_	O
1	1	SN	B-NOH
실점	실점	NNG	I-NOH
으로	으로	JKB	O
_	_	_	O
호투	호투하	VV	O
