## 1
## 두 사람은 기억을 더듬으며 노홍철의 과거 짝사랑 상대에 대해서도 이야기를 나눴다.
## <두 사람:NOH>은 기억을 더듬으며 <노홍철:PER>의 과거 짝사랑 상대에 대해서도 이야기를 나눴다.
두	두	MM	B-NOH
_	_	_	I-NOH
사람	사람	NNG	I-NOH
은	은	JX	O
_	_	_	O
기억	기억	NNG	O
을	을	JKO	O
_	_	_	O
더듬	더듬	VV	O
으며	으며	EC	O
_	_	_	O
노홍철	노홍철	NNP	B-PER
의	의	JKG	O
_	_	_	O
과거	과거	NNG	O
_	_	_	O
짝사랑	짝사랑	NNG	O
_	_	_	O
상대	상대	NNG	O
에	에	JKB	O
_	_	_	O
대해서	대하+여서	VV+EC	O
도	도	JX	O
_	_	_	O
이야기	이야기	NNG	O
를	를	JKO	O
_	_	_	O
나	나누	VV	O
눴	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 맑은물 리조트 앞을 흐르는 내린천에서는 래프팅이, 리조트 중앙에 위치한 수영장에서는 내린천을 바라보며 즐기는 야외 수영을 즐길 수 있고, 생생한 손맛을 즐길 수 있는 내린천에서의 낚시까지 더하면 여름철 3색 물놀이가 가능한 1석3조 리조트다.
## 맑은물 리조트 앞을 흐르는 <내린천:LOC>에서는 래프팅이, 리조트 중앙에 위치한 수영장에서는 <내린천:LOC>을 바라보며 즐기는 야외 수영을 즐길 수 있고, 생생한 손맛을 즐길 수 있는 <내린천:LOC>에서의 낚시까지 더하면 여름철 <3색:NOH> 물놀이가 가능한 <1석3조:NOH> 리조트다.
맑	맑	VA	O
은	은	ETM	O
물	물	NNG	O
_	_	_	O
리조트	리조트	NNG	O
_	_	_	O
앞	앞	NNG	O
을	을	JKO	O
_	_	_	O
흐르	흐르	VV	O
는	는	ETM	O
_	_	_	O
내린천	내린천	NNP	B-LOC
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
래프팅	래프팅	NNG	O
이	이	JKS	O
,	,	SP	O
_	_	_	O
리조트	리조트	NNG	O
_	_	_	O
중앙	중앙	NNG	O
에	에	JKB	O
_	_	_	O
위치한	위치하+ㄴ	VV+ETM	O
_	_	_	O
수영장	수영장	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
내린천	내린천	NNP	B-LOC
을	을	JKO	O
_	_	_	O
바라보	바라보	VV	O
며	며	EC	O
_	_	_	O
즐기	즐기	VV	O
는	는	ETM	O
_	_	_	O
야외	야외	NNG	O
_	_	_	O
수영	수영	NNG	O
을	을	JKO	O
_	_	_	O
즐길	즐기+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
고	고	EC	O
,	,	SP	O
_	_	_	O
생생한	생생하+ㄴ	VA+ETM	O
_	_	_	O
손맛	손맛	NNG	O
을	을	JKO	O
_	_	_	O
즐길	즐기+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
내린천	내린천	NNP	B-LOC
에서	에서	JKB	O
의	의	JKG	O
_	_	_	O
낚시	낚시	NNG	O
까지	까지	JX	O
_	_	_	O
더하	더하	VV	O
면	면	EC	O
_	_	_	O
여름철	여름철	NNG	O
_	_	_	O
3	3	SN	B-NOH
색	색	NNG	I-NOH
_	_	_	O
물놀이	물놀이	NNG	O
가	가	JKS	O
_	_	_	O
가능한	가능하+ㄴ	VA+ETM	O
_	_	_	O
1	1	SN	B-NOH
석	석	NNB	I-NOH
3	3	SN	I-NOH
조	조	NNG	I-NOH
_	_	_	O
리조트	리조트+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 당시 부리람에서 뛴 오스마르는 올해 서울의 주장 완장을 차고 있다.
## 당시 <부리람:ORG>에서 뛴 <오스마르:PER>는 올해 <서울:LOC>의 주장 완장을 차고 있다.
당시	당시	NNG	O
_	_	_	O
부리	부리	NNG	B-ORG
람	람	NNP	I-ORG
에서	에서	JKB	O
_	_	_	O
뛴	뛰+ㄴ	VV+ETM	O
_	_	_	O
오스	오스	NNP	B-PER
마르	마르	VV	I-PER
는	는	ETM	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
서울	서울	NNP	B-LOC
의	의	JKG	O
_	_	_	O
주장	주장	NNG	O
_	_	_	O
완장	완장	NNG	O
을	을	JKO	O
_	_	_	O
차	차	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 지난해까지 출연한 MBC 예능프로그램 ‘우리 결혼했어요’에서 선보인 솔직한 매력을 인정받아 드라마와 리얼리티 콘셉트를 합친 ‘연극이 끝나고 난 뒤’에 출연하게 됐다.
## 지난해까지 출연한 <MBC:POH> 예능프로그램 ‘<우리 결혼했어요:POH>’에서 선보인 솔직한 매력을 인정받아 드라마와 리얼리티 콘셉트를 합친 ‘<연극이 끝나고 난 뒤:POH>’에 출연하게 됐다.
지난해	지난해	NNG	O
