## 1
## KT는 2018년 평창동계올림픽을 통해 5G 알리기에 나선다.
## <KT:ORG>는 <2018년:DAT> <평창동계올림픽:POH>을 통해 <5G:POH> 알리기에 나선다.
KT	KT	SL	B-ORG
는	는	JX	O
_	_	_	O
2018	2018	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
평창	평창	NNP	B-POH
동계	동계	NNG	I-POH
올림픽	올림픽	NNG	I-POH
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
5	5	SN	B-POH
G	G	SL	I-POH
_	_	_	O
알리	알리	VV	O
기	기	ETN	O
에	에	JKB	O
_	_	_	O
나선다	나서+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## ‘단 3분’이면 염색이 되는 획기적인 상품이다.
## ‘단 <3분:NOH>’이면 염색이 되는 획기적인 상품이다.
‘	‘	SS	O
단	단	MM	O
_	_	_	O
3	3	SN	B-NOH
분	분	NNB	I-NOH
’	’	SS	O
이	이	VCP	O
면	면	EC	O
_	_	_	O
염색	염색	NNG	O
이	이	JKC	O
_	_	_	O
되	되	VV	O
는	는	ETM	O
_	_	_	O
획기적	획기적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
상품	상품	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 포르투갈 명문 클럽 FC포르투로 이적한 ‘슈틸리케호’의 최전방 공격수 석현준(25)이 새 유니폼을 입고 강렬한 데뷔전을 치렀다.
## <포르투갈:LOC> 명문 클럽 <FC포르투:ORG>로 이적한 ‘<슈틸리케:PER>호’의 최전방 공격수 <석현준:PER>(<25:NOH>)이 새 유니폼을 입고 강렬한 데뷔전을 치렀다.
포르투갈	포르투갈	NNP	B-LOC
_	_	_	O
명문	명문	NNG	O
_	_	_	O
클럽	클럽	NNG	O
_	_	_	O
FC	FC	SL	B-ORG
포르투	포르투	NNP	I-ORG
로	로	JKB	O
_	_	_	O
이적한	이적하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
슈틸리케	슈틸리케	NNP	B-PER
호	호	XSN	O
’	’	SS	O
의	의	JKG	O
_	_	_	O
최전방	최전방	NNG	O
_	_	_	O
공격수	공격수	NNG	O
_	_	_	O
석현준	석현준	NNP	B-PER
(	(	SS	O
25	25	SN	B-NOH
)	)	SS	O
이	이	JKS	O
_	_	_	O
새	새	MM	O
_	_	_	O
유니폼	유니폼	NNG	O
을	을	JKO	O
_	_	_	O
입	입	VV	O
고	고	EC	O
_	_	_	O
강렬한	강렬하+ㄴ	VA+ETM	O
_	_	_	O
데뷔	데뷔	NNG	O
전	전	XSN	O
을	을	JKO	O
_	_	_	O
치	치르	VV	O
렀	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 한라비스테온공조는 현대차 주요 협력사다.
## <한라비스테온공조:ORG>는 <현대차:ORG> 주요 협력사다.
한라	한라	NNP	B-ORG
비스	비스	NNG	I-ORG
테온	테온	NNP	I-ORG
공조	공조	NNG	I-ORG
는	는	JX	O
_	_	_	O
현대차	현대차	NNP	B-ORG
_	_	_	O
주요	주요	NNG	O
_	_	_	O
협력	협력	NNG	O
사	사	XSN	O
다	다	NNG	O
.	.	SF	O

## 5
## 시교육청은 관련자 12명을 수사 의뢰하고 재발 방지 대책을 마련할 방침이다.
## 시교육청은 관련자 <12명:NOH>을 수사 의뢰하고 재발 방지 대책을 마련할 방침이다.
시	시	NNG	O
