## 1
## 91년 국립현대미술관이 한국과학기술연구원(KIST)과 국립과학수사연구원에 감정을 의뢰했지만 사실상 감정 불가 판정이 나오면서 혼란을 부추겼다.
## <91년:DAT> <국립현대미술관:ORG>이 <한국과학기술연구원:ORG>(<KIST:ORG>)과 <국립과학수사연구원:ORG>에 감정을 의뢰했지만 사실상 감정 불가 판정이 나오면서 혼란을 부추겼다.
91	91	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
국립현대미술관	국립현대미술관	NNP	B-ORG
이	이	JKS	O
_	_	_	O
한국	한국	NNP	B-ORG
과학	과학	NNG	I-ORG
기술	기술	NNG	I-ORG
연구원	연구원	NNG	I-ORG
(	(	SS	O
KIST	KIST	SL	B-ORG
)	)	SS	O
과	과	JKB	O
_	_	_	O
국립	국립	NNG	B-ORG
과학	과학	NNG	I-ORG
수사	수사	NNG	I-ORG
연구원	연구원	NNG	I-ORG
에	에	JKB	O
_	_	_	O
감정	감정	NNG	O
을	을	JKO	O
_	_	_	O
의뢰	의뢰하	VV	O
했	였	EP	O
지만	지만	EC	O
_	_	_	O
사실상	사실상	NNG	O
_	_	_	O
감정	감정	NNG	O
_	_	_	O
불가	불가	NNG	O
_	_	_	O
판정	판정	NNG	O
이	이	JKS	O
_	_	_	O
나오	나오	VV	O
면서	면서	EC	O
_	_	_	O
혼란	혼란	NNG	O
을	을	JKO	O
_	_	_	O
부추	부추기	VV	O
겼	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 앞서 검찰은 분석 기술이 향상된 국과수에 DNA 분석 검사를 맡겼지만 다시 실패하면서 수사는 난항을 겪어 왔다.
## 앞서 검찰은 분석 기술이 향상된 <국과수:ORG>에 DNA 분석 검사를 맡겼지만 다시 실패하면서 수사는 난항을 겪어 왔다.
앞서	앞서+어	VV+EC	O
_	_	_	O
검찰	검찰	NNG	O
은	은	JX	O
_	_	_	O
분석	분석	NNG	O
_	_	_	O
기술	기술	NNG	O
이	이	JKS	O
_	_	_	O
향상된	향상되+ㄴ	VV+ETM	O
_	_	_	O
국과수	국과수	NNP	B-ORG
에	에	JKB	O
_	_	_	O
DNA	DNA	SL	O
_	_	_	O
분석	분석	NNG	O
_	_	_	O
검사	검사	NNG	O
를	를	JKO	O
_	_	_	O
맡	맡기	VV	O
겼	었	EP	O
지만	지만	EC	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
실패하	실패하	VV	O
면서	면서	EC	O
_	_	_	O
수사	수사	NNG	O
는	는	JX	O
_	_	_	O
난항	난항	NNG	O
을	을	JKO	O
_	_	_	O
겪	겪	VV	O
어	어	EC	O
_	_	_	O
왔	+았	+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 질병관리본부는 이날까지 28건의 지카 바이러스 감염 의심 사례가 접수됐지만 모두 음성으로 나왔다고 밝혔다.
## <질병관리본부:ORG>는 이날까지 <28건:NOH>의 지카 바이러스 감염 의심 사례가 접수됐지만 모두 음성으로 나왔다고 밝혔다.
질병	질병	NNG	B-ORG
관리	관리	NNG	I-ORG
본부	본부	NNG	I-ORG
는	는	JX	O
_	_	_	O
이날	이날	NNG	O
까지	까지	JX	O
_	_	_	O
28	28	SN	B-NOH
건	건	NNB	I-NOH
의	의	JKG	O
_	_	_	O
지카	지카	NNP	O
_	_	_	O
바이러스	바이러스	NNG	O
_	_	_	O
감염	감염	NNG	O
_	_	_	O
의심	의심	NNG	O
_	_	_	O
사례	사례	NNG	O
가	가	JKS	O
_	_	_	O
접수	접수+되	NNG+XSV	O
됐	었	EP	O
지만	지만	EC	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
음성	음성	NNG	O
으로	으로	JKB	O
_	_	_	O
나	나오	VV	O
왔	았	EP	O
다고	다고	EC	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

