## 1
## 이러한 저해요소를 해결하기 위한 방법 중 하나가 학업이라고 생각한다.
## 이러한 저해요소를 해결하기 위한 방법 중 <하나:NOH>가 학업이라고 생각한다.
이러한	이러하+ㄴ	VA+ETM	O
_	_	_	O
저해	저해	NNG	O
요소	요소	NNG	O
를	를	JKO	O
_	_	_	O
해결하	해결하	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
방법	방법	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
하나	하나	NNG	B-NOH
가	가	JKS	O
_	_	_	O
학업	학업	NNG	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
생각한다	생각하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 물론 웨스트윙은 드라마고 판타지다.
## 물론 <웨스트윙:POH>은 드라마고 판타지다.
물론	물론	MAG	O
_	_	_	O
웨스트	웨스트	NNG	B-POH
윙	윙	NNP	I-POH
은	은	JX	O
_	_	_	O
드라마	드라마	NNG	O
고	고	JKQ	O
_	_	_	O
판타지	판타지	NNG	O
다	다	NNG	O
.	.	SF	O

## 3
## 이외에 제일약품, 한미반도체, 미원에스씨, 삼성물산, 미래에셋생명, SK텔레콤, KSS해운, 미원화학, 현대모비스가 자사주를 사들였다.
## 이외에 <제일약품:ORG>, <한미반도체:ORG>, <미원에스씨:ORG>, <삼성물산:ORG>, <미래에셋생명:ORG>, <SK텔레콤:ORG>, <KSS해운:ORG>, <미원화학:ORG>, <현대모비스:ORG>가 자사주를 사들였다.
이외	이외	NNG	O
에	에	JKB	O
_	_	_	O
제일	제일	NNP	B-ORG
약품	약품	NNG	I-ORG
,	,	SP	O
_	_	_	O
한	한	NNP	B-ORG
미	미	NNP	I-ORG
반도체	반도체	NNG	I-ORG
,	,	SP	O
_	_	_	O
미원	미원	NNP	B-ORG
에스	에스	NNG	I-ORG
씨	씨	NNB	I-ORG
,	,	SP	O
_	_	_	O
삼성물산	삼성물산	NNP	B-ORG
,	,	SP	O
_	_	_	O
미래에셋	미래에셋	NNP	B-ORG
생명	생명	NNG	I-ORG
,	,	SP	O
_	_	_	O
SK	SK	SL	B-ORG
텔레콤	텔레콤	NNG	I-ORG
,	,	SP	O
_	_	_	O
KSS	KSS	SL	B-ORG
해운	해운	NNG	I-ORG
,	,	SP	O
_	_	_	O
미	미	NNP	B-ORG
원화학	원화학	NNP	I-ORG
,	,	SP	O
_	_	_	O
현대모비스	현대모비스	NNP	B-ORG
가	가	JKS	O
_	_	_	O
자사	자사	NNG	O
주	주	NNG	O
를	를	JKO	O
_	_	_	O
사들	사들이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 박 변호사도 “소감을 얘기하는 건 임명권자에 대한 결례”라면서도 “수사가 정치를 의식하면 안 된다.
## <박:PER> 변호사도 “소감을 얘기하는 건 임명권자에 대한 결례”라면서도 “수사가 정치를 의식하면 안 된다.
박	박	NNP	B-PER
_	_	_	O
변호사	변호사	NNG	O
도	도	JX	O
_	_	_	O
“	“	SS	O
소감	소감	NNG	O
을	을	JKO	O
_	_	_	O
얘기하	얘기하	VV	O
는	는	ETM	O
_	_	_	O
건	것+ㄴ	NNB+JX	O
_	_	_	O
임명권자	임명권자	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
결례	결례	NNG	O
”	”+이	SS+VCP	O
라면서	라면서	EC	O
도	도	JX	O
_	_	_	O
“	“	SS	O
수사	수사	NNG	O
가	가	JKS	O
_	_	_	O
정치	정치	NNG	O
를	를	JKO	O
_	_	_	O
의식하	의식하	VV	O
면	면	EC	O
_	_	_	O
안	안	MAG	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 25일 콜레라 환자로 추가 확진 판정을 받은 70대 여성은 지난 주 먹다
## <25일:DAT> 콜레라 환자로 추가 확진 판정을 받은 <70대:NOH> 여성은 지난 주 먹다
25	25	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
콜레라	콜레라	NNG	O
_	_	_	O
환자	환자	NNG	O
로	로	JKB	O
_	_	_	O
추가	추가	NNG	O
_	_	_	O
확진	확진	NNG	O
_	_	_	O
판정	판정	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
70	70	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
여성	여성	NNG	O
은	은	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
주	주	NNB	O
_	_	_	O
먹	먹	VV	O
다	다	EF	O

## 6
## 올해 IIHS로부터 ‘톱 세이프티 픽’ 또는 ‘톱 세이프티 픽 플러스’ 평가를 받은 기아자동차의 모델은 쏘울, 세도나(카니발), 옵티마(K5), 스포티지, 쏘렌토 등이다.
## 올해 <IIHS:ORG>로부터 ‘톱 세이프티 픽’ 또는 ‘톱 세이프티 픽 플러스’ 평가를 받은 <기아자동차:ORG>의 모델은 <쏘울:POH>, <세도나:POH>(<카니발:POH>), <옵티마:POH>(<K5:POH>), <스포티지:POH>, <쏘렌토:POH> 등이다.
올해	올해	NNG	O
_	_	_	O
IIHS	IIHS	SL	B-ORG
로부터	로부터	JKB	O
_	_	_	O
‘	‘	SS	O
톱	톱	NNG	O
_	_	_	O
세이프티	세이프티	NNG	O
_	_	_	O
픽	픽	MAG	O
’	’	SS	O
_	_	_	O
또는	또는	MAG	O
_	_	_	O
‘	‘	SS	O
톱	톱	NNG	O
_	_	_	O
세이프티	세이프티	NNG	O
_	_	_	O
픽	픽	MAG	O
_	_	_	O
플러스	플러스	NNG	O
’	’	SS	O
_	_	_	O
평가	평가	NNG	O
를	를	JKO	O
