## 1
## [영상]I'm Your Father! '스타워즈'가 다가온다!
## [영상]I'm Your Father! '<스타워즈:POH>'가 다가온다!
[	[	SS	O
영상	영상	NNG	O
]	]	SS	O
I	I	SL	O
'	'	SS	O
m	m	SL	O
_	_	_	O
Your	Your	SL	O
_	_	_	O
Father	Father	SL	O
!	!	SF	O
_	_	_	O
'	'	SS	O
스타워즈	스타워즈	NNP	B-POH
'	'	SS	O
가	가	JKS	O
_	_	_	O
다가온다	다가오+ㄴ다	VV+EF	O
!	!	SF	O

## 2
## 견본주택은 경기 화성시 방교리 29-1번지에 위치해 있으며, 2018년 12월 입주예정이다.
## 견본주택은 <경기:LOC> <화성시:LOC> <방교리 29-1번지:LOC>에 위치해 있으며, <2018년 12월:DAT> 입주예정이다.
견본	견본	NNG	O
주택	주택	NNG	O
은	은	JX	O
_	_	_	O
경기	경기	NNP	B-LOC
_	_	_	O
화성시	화성시	NNP	B-LOC
_	_	_	O
방교리	방교리	NNP	B-LOC
_	_	_	I-LOC
29	29	SN	I-LOC
-	-	SO	I-LOC
1	1	SN	I-LOC
번지	번지	NNG	I-LOC
에	에	JKB	O
_	_	_	O
위치해	위치하+여	VV+EC	O
_	_	_	O
있	있	VX	O
으며	으며	EC	O
,	,	SP	O
_	_	_	O
2018	2018	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
12	12	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
입주	입주	NNG	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 중국 인민해방군 해군 소속 함정이 1일 동중국해에서 미사일을 발사하고 있다.
## <중국:ORG> 인민해방군 해군 소속 함정이 <1일:DAT> <동중국해:LOC>에서 미사일을 발사하고 있다.
중국	중국	NNP	B-ORG
_	_	_	O
인민	인민	NNG	O
해방군	해방군	NNG	O
_	_	_	O
해군	해군	NNG	O
_	_	_	O
소속	소속	NNG	O
_	_	_	O
함정	함정	NNG	O
이	이	JKS	O
_	_	_	O
1	1	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
동중국해	동중국해	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
미사일	미사일	NNG	O
을	을	JKO	O
_	_	_	O
발사하	발사하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 농협, 1억 보이스피싱 감지 범인검거 도와
## <농협:ORG>, <1억:MNY> 보이스피싱 감지 범인검거 도와
농협	농협	NNP	B-ORG
,	,	SP	O
_	_	_	O
1	1	SN	B-MNY
억	억	NR	I-MNY
_	_	_	O
보이스	보이스	NNG	O
피싱	피싱	NNG	O
_	_	_	O
감지	감지	NNG	O
_	_	_	O
범인	범인	NNG	O
검거	검거	NNG	O
_	_	_	O
도	돕	VV	O
와	아	EC	O

## 5
## 전북 최강희 감독은 후반에 승부수를 띄웠다.
## <전북:ORG> <최강희:PER> 감독은 후반에 승부수를 띄웠다.
전북	전북	NNP	B-ORG
_	_	_	O
최강희	최강희	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
은	은	JX	O
_	_	_	O
후반	후반	NNG	O
에	에	JKB	O
_	_	_	O
승부수	승부수	NNG	O
를	를	JKO	O
_	_	_	O
띄	띄우	VV	O
웠	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 한 영화의 배우를 주연과 조연, 단역으로 구분하는 일은 불필요하다.
## <한:NOH> 영화의 배우를 주연과 조연, 단역으로 구분하는 일은 불필요하다.
한	하+ㄴ	VV+ETM	B-NOH
_	_	_	O
영화	영화	NNG	O
의	의	JKG	O
_	_	_	O
배우	배우	NNG	O
를	를	JKO	O
_	_	_	O
주연	주연	NNG	O
과	과	JC	O
_	_	_	O
조연	조연	NNG	O
,	,	SP	O
_	_	_	O
단역	단역	NNG	O
으로	으로	JKB	O
_	_	_	O
구분하	구분하	VV	O
는	는	ETM	O
_	_	_	O
일	일	NNG	O
은	은	JX	O
_	_	_	O
불필요하	불필요하	VA	O
다	다	EF	O
.	.	SF	O

## 7
